id	reads	len	cov
SRR5947071_C430731	25	468	5.34
SRR5936220_C617682	47	877	5.35
SRR5950509_C433634	30	556	5.39
ERR1730270_C21327560	136	2468	5.51
SRR5936073_C318145	37	664	5.57
ERR1730278_C11968042	131	2346	5.58
SRR5936181_C489956	32	571	5.60
SRR5935829_C552674	34	603	5.63
SRS024075_LANL_scaffold_10854	53	937	5.65
SRR5935978_C558127	53	932	5.68
ERR1730269_scaffold38758	107	1875	5.70
SRR5935958_C380237	54	946	5.70
SRR5936099_C832518	50	874	5.72
SRR5935932_C394657	69	1192	5.78
ERR1730279_C10135318	208	3582	5.80
SRR5935815_C416342	51	875	5.82
SRR5950731_C549874	45	771	5.83
SRR5950606_C339782	96	1641	5.85
SRR5946803_C447832	74	1260	5.87
SRR5935942_C761742	52	882	5.89
SRR5936151_C284702	64	1080	5.92
SRS022524_Baylor_scaffold_12009	313	5270	5.93
SRR5935995_C532944	38	638	5.95
SRR5950632_C298355	62	1038	5.97
C2513156	41	683	6.00
SRR413722_C914178	29	477	6.07
SRR5946660_C420975	83	1354	6.12
SRR5936126_C488687	63	1027	6.13
SRR5946788_C564330	38	612	6.20
SRR5946876_C1234519	96	1542	6.22
SRR5950633_C405912	55	884	6.22
SRR5947041_C399916	92	1475	6.23
SRR5950566_C514625	63	1010	6.23
SRS015264_WUGC_scaffold_24150	130	2080	6.25
SRR5936225_C279458	119	1889	6.29
SRR5946623_C615321	46	728	6.31
SRR5936018_C321578	66	1043	6.32
SRR5950777_C349580	43	675	6.37
SRR5950772_C324896	80	1252	6.38
SRR5946939_C205449	48	751	6.39
SRR5950704_C536668	27	422	6.39
SRR341682_scaffold29746	58	904	6.41
SRR413770_scaffold4454	26	405	6.41
SRR5936005_C392986	37	577	6.41
SRR5947042_C244735	60	936	6.41
SRR5935867_C395573	45	699	6.43
SRR5936121_C512084	29	450	6.44
SRR5936170_C501744	77	1195	6.44
SRR5946767_C327982	83	1287	6.44
SRR5935766_C404552	56	866	6.46
SRR5950772_C328366	98	1517	6.46
ERR1730269_C11744230	104	1607	6.47
SRR5946660_C424673	136	2101	6.47
SRR5946958_C582975	48	737	6.51
SRR5950763_C495254	55	841	6.53
SRR5950574_C834930	96	1466	6.54
ERR1730274_C13249932	72	1098	6.55
SRR5936130_C537523	113	1725	6.55
SRR5946829_C307161	74	1125	6.57
SRR5936025_C510926	28	425	6.58
SRR413728_scaffold1920	34	514	6.61
SRR5936029_C323666	40	603	6.63
C1693436	98	1472	6.65
SRR413664_scaffold32686	120	1792	6.69
SRR5946748_C437347	66	981	6.72
SRR5936050_C519589	63	934	6.74
SRR5936041_C159430	67	992	6.75
SRR5962885_C422515	81	1198	6.76
SRR5946918_C609001	55	812	6.77
SRR5946958_C579973	46	679	6.77
SRR5936105_C642370	94	1383	6.79
SRR5947028_C499467	58	854	6.79
SRR5947098_C495781	111	1632	6.80
SRR5950704_C577157	90	1319	6.82
SRR5946803_C450156	105	1533	6.84
SRR5946608_C612132	52	758	6.86
SRR5935974_C341741	83	1208	6.87
SRR5946680_C263635	79	1149	6.87
SRR5946693_C339707	71	1033	6.87
SRR5950770_C450478	69	1004	6.87
SRR5950680_C528655	78	1133	6.88
SRR5935935_C502774	62	898	6.90
C2401931	68	984	6.91
SRR5946609_C497494	113	1633	6.91
SRR5950729_C695341	63	911	6.91
SRR5950775_C470625	64	926	6.91
SRR5946929_C615523	109	1574	6.92
SRR5950594_C461677	68	982	6.92
SRR5936040_C538207	46	663	6.93
SRR5936080_C289054	40	577	6.93
SRR5946660_C423439	122	1754	6.95
SRS022524_Baylor_scaffold_59224	89	1279	6.95
SRR5946633_C305346	116	1664	6.97
SRR5947083_C91996	119	1705	6.97
ERR1730262_C9207343	82	1174	6.98
SRR5946764_C242978	105	1502	6.99
SRR5936042_C369955	51	727	7.01
SRR5950668_C304490	29	412	7.03
ERR1730268_C15513138	65	922	7.04
SRR5936115_C1032886	120	1700	7.05
C2555504	136	1921	7.07
SRR5935908_C301271	118	1669	7.07
SRR5946776_C1043782	52	735	7.07
SRR5950546_C294052	67	945	7.08
C2071780	73	1029	7.09
SRR5935906_C283159	49	691	7.09
SRR5946682_C657166	62	874	7.09
SRR5946889_C1131795	85	1197	7.10
SRR413745_C805707	39	548	7.11
SRR5946741_C163083	51	717	7.11
SRR5946780_C550308	73	1026	7.11
SRR413696_scaffold33979	73	1025	7.12
SRR5946893_C593641	58	812	7.14
ERR1730278_C11966200	150	2095	7.15
SRR5936019_C250429	134	1871	7.16
SRR5950561_C784501	73	1019	7.16
SRR5935922_C427291	75	1046	7.17
SRR5950737_C224976	77	1068	7.20
SRR5946889_C1124479	70	969	7.22
SRR5947030_C386216	175	2414	7.24
SRR413771_scaffold42994	100	1378	7.25
SRR5936220_C635324	148	2036	7.26
SRR5946958_C595969	99	1360	7.27
SRR413692_scaffold16275	93	1277	7.28
SRR5947009_C291236	66	906	7.28
C6392216	42	576	7.29
SRR5946947_C389298	57	781	7.29
SRR5935744_C636683	67	917	7.30
SRR5950582_C400678	59	808	7.30
SRR5950552_C312486	154	2105	7.31
SRR5946737_C244158	34	464	7.32
SRR5950775_C466299	59	804	7.33
SRR5936098_C405816	74	1007	7.34
SRR5946689_C503470	118	1605	7.35
SRR5947000_C443048	63	857	7.35
SRR5947034_C685207	175	2380	7.35
SRR5950752_C585535	55	748	7.35
SRR5946748_C442129	98	1329	7.37
SRR5950745_C599504	59	800	7.37
SRR5946657_C236016	151	2041	7.39
SRR5950496_C279919	154	2074	7.42
SRR5950515_C638069	39	525	7.42
SRR5935740_C665052	130	1749	7.43
SRR5946817_C672663	76	1022	7.43
SRR5935873_C366476	41	551	7.44
SRR5936231_C750671	146	1961	7.44
SRR341670_scaffold69133	124	1660	7.46
SRR5936098_C407030	83	1110	7.47
C3420491	33	441	7.48
C3590772	71	947	7.49
SRR5936018_C318816	64	854	7.49
SRR5946840_C306788	178	2374	7.49
SRR5946865_C298453	61	813	7.50
SRR413617_C842775	79	1048	7.53
SRR5947018_C845524	105	1392	7.54
SRR5936058_C492178	266	3519	7.55
SRR5936193_C694623	81	1072	7.55
SRR5935795_C444292	83	1096	7.57
SRR5946639_C716250	122	1610	7.57
SRR5936099_C850830	132	1740	7.58
SRR5962902_C287064	50	658	7.59
SRR5946641_C599830	77	1012	7.60
SRR5950543_C281639	51	671	7.60
SRR5950606_C336722	72	946	7.61
SRR5935833_C629268	114	1495	7.62
SRR5946823_C706837	122	1601	7.62
SRR5950678_C527406	121	1584	7.63
SRR5936195_C759158	86	1124	7.65
SRR5935753_C446199	63	822	7.66
SRR5936036_C430271	77	1004	7.66
SRR5936000_C316207	67	873	7.67
C8446001	107	1392	7.68
SRR5935859_C636208	119	1548	7.68
SRR5946760_C1017992	62	807	7.68
SRR5950549_C223944	70	911	7.68
SRR5950673_C640694	73	950	7.68
SRR5936023_C616124	59	766	7.70
SRR5950756_C499246	114	1479	7.70
SRR5936058_C486214	96	1245	7.71
SRR5950732_C646673	99	1284	7.71
SRR5946817_C663641	61	789	7.73
SRR5935810_C735457	259	3342	7.74
SRR5946729_C206236	125	1611	7.75
SRR5935866_C736398	143	1841	7.76
SRR5936173_C249813	137	1761	7.77
SRR413693_C1533081	62	796	7.78
SRR5936020_C734127	136	1745	7.79
SRR5950543_C286971	68	872	7.79
SRR5946615_C364746	110	1410	7.80
SRR413642_scaffold27943	106	1355	7.82
SRR5936101_C690312	127	1621	7.83
SRR341699_scaffold57545	98	1249	7.84
SRR5950517_C442847	73	931	7.84
SRR5946856_C550631	73	928	7.86
SRR5946867_C1077348	43	547	7.86
SRR5950754_C401475	85	1081	7.86
SRR5935981_C605551	81	1028	7.87
SRR5946759_C627841	109	1385	7.87
SRR413731_scaffold12858	72	911	7.90
SRR413644_scaffold29536	231	2918	7.91
SRR5935769_C591702	156	1971	7.91
SRR5946695_C800879	104	1314	7.91
SRR5946746_C386949	112	1412	7.93
SRR5935928_C584660	114	1435	7.94
SRR5936188_C221472	106	1335	7.94
C3701772	76	955	7.95
SRR5950609_C655014	103	1294	7.95
SRR5935830_C401087	77	967	7.96
SRR5936039_C363101	99	1243	7.96
SRR5946835_C433924	104	1299	8.00
SRR341695_scaffold48173	64	799	8.01
SRR5935829_C587546	238	2971	8.01
SRR5962902_C302964	97	1210	8.01
SRR5935952_C654743	31	386	8.03
SRR5936051_C615155	70	871	8.03
C695421	95	1181	8.04
SRR5962888_C327091	74	920	8.04
SRR5950775_C479917	121	1500	8.06
SRR5936006_C419343	54	669	8.07
SRR5946672_C406489	130	1610	8.07
SRR5946845_C180656	211	2610	8.08
SRR5950538_C458032	115	1422	8.08
SRR5936112_C474089	174	2149	8.09
SRR5946787_C2460649	92	1137	8.09
SRR5950717_C541092	91	1123	8.10
SRR413683_scaffold28992	71	874	8.12
SRR5936195_C762762	103	1266	8.13
ERR1730262_C9150809	68	834	8.15
SRR5935963_C882422	145	1778	8.15
SRR5936105_C643816	142	1742	8.15
SRR5946985_C893592	68	834	8.15
SRR413612_scaffold48042	110	1347	8.16
SRR5950739_C328659	58	710	8.16
SRR5950511_C619608	94	1149	8.18
SRR5936020_C732427	129	1575	8.19
SRR5946803_C448758	111	1352	8.21
SRR5950509_C463293	100	1218	8.21
SRR5935784_C478725	85	1033	8.22
SRR5936231_C740871	98	1192	8.22
SRR5950500_C427940	139	1689	8.22
SRR5946642_C662008	50	607	8.23
SRR413663_C824027	196	2377	8.24
SRR5950686_C701012	64	775	8.25
SRR5950731_C564978	127	1538	8.25
SRR5935926_C809683	359	4343	8.26
SRR5935967_C416614	138	1670	8.26
C2704041	65	785	8.28
SRR5936132_C875368	103	1243	8.28
SRR5935984_C510946	193	2326	8.29
SRR5950652_C469267	101	1218	8.29
SRR5950683_C299891	135	1628	8.29
SRR5950548_C297044	106	1276	8.30
C1265658	95	1143	8.31
SRR5947078_C902552	218	2619	8.32
SRR5950566_C511029	69	829	8.32
SRR5936162_C558674	167	2004	8.33
SRR413673_C518151	130	1557	8.34
SRR5946626_C1013224	77	923	8.34
SRR5946642_C695217	115	1376	8.35
SRR5950754_C408057	172	2059	8.35
SRR5935824_C579921	201	2403	8.36
SRR5947037_C324844	112	1335	8.38
SRR5947092_C423703	101	1204	8.38
SRR5936233_C454015	37	441	8.39
SRR5936043_C515676	63	750	8.40
SRR5946974_C233588	113	1344	8.40
SRR5935926_C804031	161	1911	8.42
SRR5946823_C693539	75	889	8.43
SRR5947059_C451183	108	1280	8.43
SRR5950539_C236186	140	1659	8.43
SRR5936168_C414728	140	1657	8.44
SRR5935779_C313046	160	1891	8.46
SRR5946722_C409092	93	1099	8.46
SRR5950598_C835717	84	991	8.47
C3386771	65	766	8.48
ERR1730273_C14072884	98	1155	8.48
C1964396	81	953	8.49
SRR5935844_C223778	126	1483	8.49
SRR5936097_C815572	139	1636	8.49
SRR5946941_C426712	112	1318	8.49
SRS048870_WUGC_scaffold_40503	74	871	8.49
SRR5936132_C892112	262	3082	8.50
SRR5936162_C555940	133	1564	8.50
SRR5950645_C313744	127	1492	8.51
SRR5935756_C561112	113	1323	8.54
SRR5936097_C810902	109	1275	8.54
SRR5950500_C394760	43	503	8.54
SRR5950764_C617615	55	644	8.54
SRR413649_scaffold19463	85	993	8.55
SRR5936144_C189056	118	1380	8.55
SRR5935744_C642205	108	1260	8.57
SRR5946660_C426661	267	3115	8.57
SRR5950513_C375652	111	1295	8.57
SRR5935848_C849460	157	1829	8.58
C1597952	158	1839	8.59
SRR5936126_C490201	95	1105	8.59
SRR5947018_C847660	153	1781	8.59
SRR5935810_C734755	221	2567	8.60
SRR5936188_C227710	227	2639	8.60
SRR5935889_C580955	111	1289	8.61
SRR5947048_C445428	96	1114	8.61
C4244862	195	2262	8.62
SRR5950791_C2147186	85	985	8.62
SRR5935811_C227927	101	1169	8.63
SRR5950750_C404996	125	1448	8.63
SRR5950761_C388937	63	730	8.63
SRR5950642_C374333	251	2902	8.64
SRR413761_C1293216	101	1167	8.65
SRR5950490_C333051	92	1063	8.65
SRR5946609_C488666	89	1027	8.66
SRR5935909_C514425	142	1637	8.67
SRR5936176_C321045	212	2443	8.67
SRR5946616_C456957	104	1196	8.69
SRR5946653_C444367	281	3231	8.69
SRR5947070_C281589	136	1564	8.69
SRR5935890_C489816	121	1390	8.70
SRR5947004_C663117	110	1264	8.70
SRR5947096_C424994	94	1078	8.71
SRR5950509_C472661	204	2341	8.71
SRR5946891_C598558	157	1800	8.72
SRR5935806_C536816	45	515	8.73
SRR5947075_C356556	175	2004	8.73
SRR341675_scaffold50601	168	1922	8.74
SRR5936098_C406530	93	1063	8.74
SRR5947022_C404752	211	2413	8.74
SRR5935888_C520409	175	2000	8.75
SRS043411_WUGC_scaffold_28490	249	2845	8.75
SRR5946856_C557055	112	1276	8.77
SRR5935745_C454774	143	1627	8.78
SRR5936081_C412372	84	956	8.78
SRR5946652_C579734	65	740	8.78
SRR5935963_C883834	172	1956	8.79
SRR5935916_C481102	259	2942	8.80
SRR5936094_C694653	124	1409	8.80
SRR5946708_C763177	98	1113	8.80
SRS015264_WUGC_scaffold_64513	226	2566	8.80
SRR413645_scaffold25237	152	1725	8.81
SRR5936058_C488386	134	1519	8.82
SRR5946995_C399863	104	1178	8.82
C2461676	220	2489	8.83
SRR5946997_C474662	53	600	8.83
SRR5947012_C270658	178	2012	8.84
C1101682	139	1569	8.85
C1612508	259	2924	8.85
SRR5936126_C487323	86	970	8.86
SRR5946722_C419498	209	2356	8.87
SRR5946927_C292135	219	2468	8.87
SRR5936140_C659895	121	1362	8.88
SRR5946747_C1082741	81	912	8.88
SRR5936047_C187590	101	1135	8.89
SRR5946818_C909924	111	1248	8.89
SRR5936052_C411800	104	1168	8.90
SRR5946952_C532485	157	1763	8.90
SRR5935795_C446968	121	1358	8.91
SRR5946831_C630962	176	1974	8.91
C1444858	149	1667	8.93
SRR341658_scaffold50541	79	884	8.93
SRR413656_C1161283	70	783	8.93
SRR5947034_C686391	273	3051	8.94
SRR341707_scaffold66709	87	971	8.95
SRR5935810_C730585	128	1429	8.95
SRR5936064_C389731	124	1385	8.95
SRR5936231_C736163	92	1027	8.95
SRR5946958_C592605	97	1083	8.95
SRR5950592_C385328	105	1173	8.95
SRR5962898_C389733	124	1385	8.95
C1553150	62	691	8.97
SRR413640_C712563	141	1571	8.97
SRS015264_WUGC_scaffold_57419	186	2072	8.97
SRR5935928_C572608	70	779	8.98
SRR5946919_C482521	118	1313	8.98
SRR5947104_C495455	118	1313	8.98
SRR5950734_C367115	100	1113	8.98
C5143201	139	1546	8.99
SRR5936023_C629006	120	1327	9.04
SRR5936232_C301570	110	1216	9.04
C1842915	169	1865	9.06
SRR413769_scaffold29309	176	1941	9.06
SRR5935989_C682373	134	1476	9.07
SRR5935995_C556662	109	1201	9.07
SRR5946843_C603803	89	980	9.08
ERR1730274_C13172747	74	814	9.09
SRR5950752_C597185	94	1032	9.10
SRR5935963_C886646	227	2481	9.14
SRR5946684_C430446	389	4252	9.14
SRR413610_C475239	166	1813	9.15
SRR5935988_C437831	136	1485	9.15
SRR5936027_C760057	91	994	9.15
SRR5936233_C498274	209	2284	9.15
SRR5947022_C400424	140	1529	9.15
SRR5950646_C221123	217	2369	9.15
C3082038	85	927	9.16
SRR5935819_C359496	118	1287	9.16
SRR5935812_C380337	135	1472	9.17
SRR5935938_C753603	131	1427	9.18
SRR5947034_C684151	187	2037	9.18
SRR5950519_C417869	169	1839	9.18
SRR5947032_C489073	128	1392	9.19
SRR5935855_C585564	174	1890	9.20
SRR5946614_C116260	244	2651	9.20
SRR5947092_C428607	172	1868	9.20
C1608089	165	1790	9.21
SRR5936068_C417355	127	1378	9.21
C4715246	76	822	9.24
SRR5946923_C1019272	94	1017	9.24
SRR5950703_C351676	150	1622	9.24
SRR5950553_C438553	116	1254	9.25
SRR5936195_C776710	325	3505	9.27
SRR5946776_C1035536	60	647	9.27
SRR5936185_C601745	101	1088	9.28
SRR5946682_C663430	129	1390	9.28
SRR5946836_C341684	87	937	9.28
SRR5946925_C560575	287	3088	9.29
SRR5950489_C854803	99	1065	9.29
SRR5947102_C200744	87	935	9.30
SRS053335_LANL_scaffold_14176	167	1795	9.30
SRS056259_LANL_scaffold_52467	139	1494	9.30
C3722369	108	1159	9.31
SRR5946818_C916906	163	1749	9.31
C2774311	162	1736	9.33
SRR5946687_C499378	218	2328	9.36
SRR5950528_C698374	205	2190	9.36
SRR5950609_C666592	257	2743	9.36
SRR5962902_C307056	161	1719	9.36
SRR5950570_C360004	88	939	9.37
SRR5935786_C450696	88	938	9.38
SRR5935845_C441832	73	778	9.38
SRR5950487_C545496	103	1096	9.39
SRS022524_Baylor_scaffold_69898	550	5852	9.39
SRR5936097_C822468	279	2967	9.40
SRR5946762_C447989	161	1711	9.40
C1814024	149	1582	9.41
SRR5935773_C372732	170	1805	9.41
SRR5936140_C659871	128	1359	9.41
SRR5946847_C1027594	73	775	9.41
SRR5935784_C490235	319	3384	9.42
SRR5950550_C707214	281	2982	9.42
SRR5947047_C178577	232	2460	9.43
SRS011306_Baylor_scaffold_58376	153	1621	9.43
SRR5947073_C246423	125	1324	9.44
C2835335	129	1364	9.45
SRR413594_scaffold26916	321	3396	9.45
SRR5936020_C736019	190	2010	9.45
SRR5946915_C264781	118	1247	9.46
SRR5950492_C576087	135	1427	9.46
SRR5935741_C455103	118	1245	9.47
SRR5946643_C324662	89	939	9.47
SRR5950609_C650294	105	1108	9.47
SRR5935799_C701417	246	2594	9.48
SRR5935901_C226401	165	1739	9.48
SRR5950634_C370081	179	1888	9.48
SRR5946921_C967327	130	1369	9.49
SRR5935913_C249389	156	1639	9.51
SRR5935741_C462861	185	1943	9.52
SRR5935879_C598892	222	2328	9.53
SRR5950708_C755714	114	1195	9.53
SRR5946909_C243429	61	639	9.54
SRR5950638_C116738	159	1665	9.54
SRR5935760_C264717	228	2385	9.55
SRR5946612_C420234	117	1224	9.55
SRR5946744_C579930	167	1748	9.55
SRR5935779_C313306	188	1965	9.56
SRR5936094_C686531	96	1004	9.56
SRR5946832_C696602	249	2604	9.56
SRR5947027_C516870	218	2280	9.56
SRR5936002_C408564	177	1848	9.57
SRR5936040_C555461	224	2339	9.57
C2581322	216	2252	9.59
SRR5936183_C501618	90	938	9.59
SRR5946905_C1154626	260	2711	9.59
SRR5936204_C543929	109	1135	9.60
SRR5946638_C502534	178	1854	9.60
SRR413744_C584665	131	1363	9.61
SRR5946767_C326484	114	1186	9.61
SRR5946897_C467825	225	2341	9.61
SRR5936104_C530393	153	1588	9.63
C3057496	302	3132	9.64
SRR5935925_C709637	343	3556	9.64
SRR5936120_C410606	162	1679	9.64
SRR5946739_C462341	153	1587	9.64
SRR5950542_C238550	157	1628	9.64
SRR5935924_C324919	132	1367	9.65
SRR5946990_C312995	139	1440	9.65
SRR5950620_C421090	210	2176	9.65
SRR413661_scaffold24484	466	4824	9.66
SRR5935950_C517137	101	1045	9.66
SRR5946851_C488403	217	2246	9.66
SRR5962882_C381036	263	2722	9.66
SRS013687_Baylor_scaffold_54581	367	3797	9.66
SRR5946714_C326787	264	2728	9.67
SRR5946977_C169282	219	2263	9.67
SRS013951_WUGC_scaffold_64263	288	2977	9.67
SRR5935819_C365428	326	3367	9.68
SRR5935980_C259703	205	2115	9.69
SRR5936132_C861400	86	887	9.69
SRR5950692_C404805	139	1433	9.69
SRR5946678_C477559	195	2010	9.70
SRR5946958_C595463	127	1308	9.70
SRR5936036_C432239	108	1111	9.72
SRR5946669_C439490	140	1438	9.73
SRR5946687_C500560	281	2886	9.73
SRR5946777_C782572	198	2034	9.73
SRR5946908_C445314	140	1438	9.73
SRR5946660_C425703	245	2514	9.74
SRR5936215_C542314	231	2368	9.75
SRR5946612_C421830	135	1384	9.75
SRR5946708_C769419	199	2040	9.75
SRR5946872_C569009	154	1579	9.75
SRR5950577_C475509	41	420	9.76
SRR341718_C533417	192	1964	9.77
SRR5936003_C359146	191	1951	9.78
SRR5946645_C420848	520	5312	9.78
SRR5946704_C663486	156	1594	9.78
SRR5936098_C414842	315	3216	9.79
SRR5946818_C887526	70	714	9.80
C2470818	91	927	9.81
SRR5947060_C158475	120	1223	9.81
SRR5950520_C919030	91	927	9.81
SRR5962899_C417383	109	1111	9.81
SRR5935922_C414133	73	743	9.82
SRR5936140_C665775	341	3470	9.82
SRR5946762_C428075	63	641	9.82
SRR5936080_C305546	146	1484	9.83
SRR341717_scaffold17662	232	2357	9.84
SRR5950764_C650883	261	2650	9.84
SRR5950538_C458608	160	1624	9.85
SRR5950752_C602271	125	1268	9.85
SRR5946777_C781782	184	1866	9.86
SRR5936105_C637588	88	891	9.87
SRR5950562_C327140	228	2308	9.87
SRR5950759_C534636	105	1062	9.88
SRR5947069_C323805	137	1384	9.89
SRR5950561_C785937	108	1092	9.89
SRR5950661_C400381	153	1546	9.89
SRR413671_C943181	274	2765	9.90
SRR5935833_C631986	208	2099	9.90
SRR5946873_C263894	123	1242	9.90
SRR5946889_C1097199	62	626	9.90
SRR5946901_C216266	217	2191	9.90
SRR5950504_C306430	191	1928	9.90
SRR5962882_C372368	119	1202	9.90
SRR5936041_C165594	166	1675	9.91
SRR5936063_C489044	214	2158	9.91
SRR5936204_C549127	199	2008	9.91
SRR5935950_C535257	457	4603	9.92
SRR5946971_C886637	124	1250	9.92
SRR5950686_C712074	109	1098	9.92
SRR5950719_C100514	185	1864	9.92
SRR5946876_C1235791	170	1707	9.95
SRR5950777_C364280	373	3748	9.95
C2316551	85	853	9.96
SRR5950524_C449455	97	973	9.96
SRS022137_WUGC_scaffold_51025	253	2540	9.96
SRR5946836_C352232	170	1705	9.97
SRR5950520_C924800	115	1151	9.99
SRR5936014_C451278	90	900	10.00
SRR5936115_C1027216	122	1219	10.00
SRR413652_C632691	325	3242	10.02
SRR5936156_C527536	373	3716	10.03
SRR5950513_C378466	155	1544	10.03
SRS016541_Baylor_scaffold_15105	198	1973	10.03
C3046355	221	2200	10.04
SRR5936079_C368509	248	2470	10.04
SRR5950575_C488134	126	1254	10.04
SRR5935949_C418433	85	845	10.05
C3176740	134	1332	10.06
SRR5935771_C724350	217	2157	10.06
SRR5947066_C326043	139	1381	10.06
SRR5936007_C749798	237	2349	10.08
SRR5936177_C636050	383	3799	10.08
SRR413583_scaffold47001	304	3011	10.09
SRR5935926_C807963	287	2842	10.09
SRR5962902_C311472	383	3795	10.09
SRR5946978_C447340	219	2167	10.10
SRR5947071_C465264	138	1365	10.10
SRR5950495_C302954	219	2167	10.10
SRR5950734_C372939	450	4453	10.10
SRS064276_LANL_scaffold_69993	425	4204	10.10
SRR5946676_C511881	113	1117	10.11
SRR5950532_C765384	160	1581	10.12
SRR5936149_C444913	140	1382	10.13
SRR5946705_C510929	89	878	10.13
SRR5946765_C362660	256	2526	10.13
