Head_gene_symbol	Head_gene_breakpoint	Tail_gene_symbol	Tail_gene_breakpoint
FLJ39739	147931979	BC065231	145004780
HLA-DQB1	32634465	HLA-DPB1	33048448
HLA-DRB1	32557612	HLA-DPB1	33048448
HLA-DRB6	32552154	HLA-DQB2	32723874
HLA-F	29693819	HLA-A	29913280
IRF2BP2	234740922	NDFIP2	80127871
LINC00265	39810689	LOC399744	38717073
LOC100286793	143744586	BC065231	145004780
LOC284023	7817406	BIRC6	32620661
LOC728855	144340772	BC065231	145004780
LYST	235993526	TRAF3IP1	239308922
NAIP	70282272	OCLN	68830520
PRIM1	57127931	NACA	57119124
RABGGTA	24740516	DHRS1	24761404
S100A4	153516109	DDX5	62494463
SEC31B	102276717	NDUFB8	102286732
SERPINB6	2959576	EIF3B	2395005
SLC12A3	56949617	NCRNA00188	16345320
SNHG3	28835849	Metazoa_SRP	50053343
SNHG3	28835849	RN7SL1	50053343
SNTG2	1133494	UBA52	18682613
SUGT1	53237247	NOL6	33472410
SUGT1P	33503823	NOL6	33472408
TCRBV4S1A1T	142448740	TCRVB	142494521
TLK2	60637486	AX747598	90195030
TLK2	60637486	FAM157A	197907625
TLK2	60637486	LOC100288069	700244
TLK2	60637486	LOC731275	243219615
TNFAIP8L2	151129198	SCNM1	151138947
TRIM66	8635718	C16orf72	9197116
ZNF18	11898875	TPRKB	73959412
ZNF22	45499886	ATG2B	96747629
ZNF445	44481287	LINC00694	44463303
ADSL	40762502	SGSM3	40796700
ARPC4	9845697	TTLL3	9852305
BC073801	144598779	NBPF24	146032541
C5AR1	47824796	SGTB	64963868
CTBS	85028940	GNG5	84967653
CTSC	88033698	RAB38	87883123
CTSS	150705086	MAVS	3849296
FERMT3	63990988	ASXL1	31026531
FLJ39739	147931903	BC023516	149291203
FUT4	94278984	PIWIL4	94301896
HLA-B	31324449	IFNAR1	34725063
HLA-C,HLA-B	31324449	SURF4	136228339
HLA-H	29856000	HLA-B	31322255
LOC100286793	143744586	BC023516	149291203
LYST	235993526	TRAF3IP1	239308919
NCOA4	51586411	ZBTB38	141115271
NCOR1	15933514	KLHL2	166243184
NCOR1	15933514	RAB10	26350013
PRRG4	32875303	C5AR1	47824796
RIMKLA	42883542	C5AR1	47824802
S100A4	153516109	DDX5	62494463
SERPINB6	2959576	EIF3B	2395005
SIRPB2	1457983	NSFL1C	1445071
SRGN	70864532	SAMD9	92733601
TIMM23	51623335	AGAP6	51749067
TNFAIP8L2	151129198	SCNM1	151138947
ZNF18	11898875	TPRKB	73959412
abParts	89185135	Ig_kappa	89156708
ASAP3	23758251	GLYR1	4854529
DHRS1	24761402	RABGGTA	24740514
FARSA	13034965	SYCE2	13015480
GNG5	84967653	CTBS	85028940
LOC284023	7817406	BIRC6	32620661
LYST	235993526	TRAF3IP1	239308919
NAIP	70282272	OCLN	68830520
PFDN5	53691634	FAM122C	133943338
PI4KA	21213099	PI4KAP2	21827286
POLA2	65063461	CDC42EP2	65088015
PRRG4	32875303	C5AR1	47824796
RIMKLA	42883542	C5AR1	47824802
RPS3	75115760	SNRNP200	96955008
SLC12A3	56949617	NCRNA00188	16345320
SUGT1P	33503823	NOL6	33472408
TNFAIP8L2	151129198	SCNM1	151138947
TRIM58	248031364	OR2T33	248436153
UBE2Q2P1	85114025	GOLGA6L9	85783673
C5orf38	2755510	FAM102A	130702860
CAMSAP1	138799004	PRR5	45064426
CSMD2	34630874	HLA-DQB1	32627240
CTBS	85028940	GNG5	84967653
DJ031154	100353290	AK310041	32888448
DPPA2	109035363	PECAM1	62396776
FAM117A	47793527	SLC35B1	47784430
GAD1	171675182	PARL	183547172
HLA-C	31239912	C10orf46	120440493
HLA-DPB1	33043917	CDH23	73491743
HLA-DPB2	33084996	HLA-DRB6	32520489
HLA-DQA1	32605316	RALGPS2	178855103
HLA-DQA1	32605316	ZNF285	44889807
HLA-DQA2	32713848	EIF4G1	184045003
HLA-DQA2	32709301	RALGPS2	178855103
HLA-DQB1	32634465	CSMD2	33979608
HLA-DQB1	32634465	HLA-DRB6	32520489
HLA-DRB1,HLA-DRB5	32557612	HLA-DPB2	33084733
HLA-DRB1,HLA-DRB5	32557612	NUP62	50410083
HLA-DRB1,HLA-DRB5	32557612	PIEZO1	88781745
HLA-DRB1,HLA-DRB6	32557612	SNX20	50700210
HLA-DRB1	32557612	LETM1	1813205
HLA-DRB1	32557612	TPRN	140086068
KANK3	8408145	HLA-DQB1	32629395
LRRK2	40694865	PECAM1	62396776
MKNK1	47069965	HLA-DRB1,HLA-DRB5	32546546
PRIM1	57127931	NACA	57119124
RRM2	10269281	C2orf48	10281981
SCN2A	166223880	PECAM1	62396776
SEMA5B	122746575	ZNF554	2819871
SIRPB2	1460571	NSFL1C	1445071
SLC35D2	99145991	PARL	183547172
SLC35D2	99145991	RNF182	13925423
SLC7A5	87903099	HLA-DPB1	33053555
SLC7A5P1,LOC440354	29625037	HLA-DPB1	33053555
SRGAP2B	144014092	SRGAP2	206516210
TLK2	60637486	AX747598	90195030
TLK2	60637486	FAM157A	197907625
TMEM132A	60698130	HLA-DPB1	33053555
TRIM67	231299758	PLXNA3	153699830
ZNF445	44481287	LINC00694	44463303
abParts	89185135	Ig_kappa	89156708
BC110832,LOC728855	149576699	BC065231	145004780
BV13S1J2.7,TCRBV13S1	142180998	TCRVB	142498724
C17orf72	62081299	ICAM2	62082479
CCDC72	48481959	ATP6V0E1	172421778
CTBS	85028940	GNG5	84967653
DHRS1	24761402	RABGGTA	24740514
LA16c-306E5.1	3546639	RPL18	49119337
RPL18P13	76269081	RPL18	49119339
FLJ39739	147931903	BC023516	149291203
FLJ39739	147931979	BC065231	145004780
HLA-DQB1	32634465	HLA-DRB6	32520489
HLA-DRB1,HLA-DRB5	32557612	HLA-DQB1	32627240
LOC100286793	143744586	BC023516	149291203
LOC100286793	143744586	BC065231	145004780
LOC284023	7817406	BIRC6	32620661
LOC728875	144521008	BC065231	145004780
LRRC70	61874762	IPO11	61887404
NCRNA00188	16366561	ZDBF2	207169619
PRIM1	57127931	NACA	57118307
SIDT2	117066631	TAGLN	117073718
SLC12A3	56949617	NCRNA00188	16345320
SNTG2	1133494	UBA52	18682613
SUGT1	53237247	NOL6	33472410
SUGT1P	33503823	NOL6	33472408
TCRA	22392827	TRA	22951994
TCRBV17S1A1T	142327043	TCRVB	142495140
TCRBV4S1A1T	142448740	TCRVB	142494532
TCRBV5S1A1T	142021361	TCRVB	142494045
TCRBV6S6A2T,TCRB	142120349	TCRVB	142494808
TCRBV9S1A1T,TCRB	142008867	TCRVB	142494245
TNFAIP8L2	151129198	SCNM1	151138947
TRB	142198054	BV03S1J2.2,TCRVB	142494532
TXNIP	145442613	CDH13	83830162
UQCRH	46775827	FAM83F	40425689
ZNF18	11898875	TPRKB	73959412
ZNF22	45499886	ATG2B	96747629
ZNF445	44481287	LINC00694	44463303
abParts	89185135	Ig_kappa	89156708
ADSL	40762503	SGSM3	40796701
BC018860	7426	PTPRS	5158505
BC110832,LOC728855	149576699	BC065231	145004780
C5AR1	47824796	SGTB	64963868
CENPJ	25463538	PAN3	28854678
CTBS	85028940	GNG5	84967653
CTSC	88033698	RAB38	87883123
CTSS	150703047	PRSS33	2834787
DCAF11	24593285	RTN4	55200035
DPPA2	109035363	PECAM1	62396776
FLJ39739	147931979	BC065231	145004780
HSP90AA1	102548009	ZNF236	74682458
IGKV	89197300	Ig_kappa	89156708
KARS	75662467	RTN4	55199552
LOC100286793	143744586	BC065231	145004780
LRRC70	61874762	IPO11	61887404
LRRK2	40694865	PECAM1	62396776
LYST	235993526	TRAF3IP1	239308922
LYZ	69748006	TRIM71	32933728
PAN3	28854677	CENPJ	25456411
PAN3	28854678	CENPJ	25466894
PAN3	28841537	FLT1	28874482
PAN3	28841538	FLT1	28980031
PEX10	2337038	PECAM1	62407082
PRIM1	57127931	NACA	57118307
RIMKLA	42883542	C5AR1	47824802
TIMM23	51623335	AGAP6	51749067
TNFAIP8L2	151129198	SCNM1	151138947
TPT1	45915296	ANKRD17	73940501
USP38	144141869	MTRNR2L2	79945934
ADSL	40762503	SGSM3	40796701
ARF3	49333438	FKBP11	49318431
ATP5G1	46973137	SEMA3B	50314233
BC018860	7426	TVAS5	1755
CTBS	85028940	GNG5	84967653
DCAF11	24593287	RTN4	55200033
HMGN1	40714253	SNX25	186284905
IRF2BP2	234740922	NDFIP2	80127871
KARS	75662467	RTN4	55199552
LMBR1	156685622	HIP1	75211467
LYST	235993526	TRAF3IP1	239308919
NAIP	70282272	OCLN	68830520
NCOR1	15933514	KLHL2	166243184
POLA2	65063461	CDC42EP2	65088015
RPL14	40503453	SRP14	40328701
SEC31B	102276717	NDUFB8	102286156
SLC12A3	56949617	NCRNA00188	16345320
TLK2	60637486	LOC100288069	700244
TLK2	60637486	LOC731275	243219615
TVAS5	4263	STRF6	10472
ABCC11	48245010	CCNL1	156870942
abParts	89185135	abParts,Ig_kappa	89156708
AD_1	10404	TVAS5	1755
ARPC4	9845697	TTLL3	9852305
ATP5G1	46973137	SEMA3B	50314233
BC018860	7426	TVAS5	1755
BC110832,LOC728855	149576699	BC065231	145004780
C5AR1	47824796	SGTB	64963868
C6orf114	13470862	GFOD1	13486870
CTBS	85028940	GNG5	84967653
FERMT3	63990988	ASXL1	31026531
FLJ39739	147931979	BC023516	149291203
FLJ39739	147931979	BC065231	145004780
IGKV	89197300	Ig_kappa	89156708
KIAA1267	44270165	ARL17A	44630121
KIAA1267	44270165	ARL17B,ARL17A	44412267
LOC100286793	143744586	BC023516	149291203
LOC100286793	143744586	BC065231	145004780
LYST	235993526	TRAF3IP1	239308919
NCOA4	51586411	ZBTB38	141115271
NCOR1	15933514	KLHL2	166243184
NCOR1	15933514	RAB10	26350013
NSD1	176719159	PRELID1	176731626
OK/SW-cl.16	9207	cytochrome_b	14856
OK/SW-cl.16	9207	STRF6	10472
PARP6	72558331	OK/SW-cl.16	7586
PRRG4	32875303	C5AR1	47824796
RIMKLA	42883542	C5AR1	47824802
RPL14	40503453	SRP14	40328701
RRM2	10269281	C2orf48	10281982
SIRPB2	1460639	NSFL1C	1445071
SLC12A3	56949617	NCRNA00188	16345320
STRF6	12137	cytochrome_b	14856
TCRBV4S1A1T	142448740	TCRVB	142494796
TLK2	60637486	LOC731275	243219615
TNFAIP8L2	151129198	SCNM1	151138947
TRIM66	8635718	C16orf72	9197116
TVAS5	4263	cytochrome_b	14856
TVAS5	4263	STRF6	10472
LYST	235993526	TRAF3IP1	239308922
RABGGTA	24740516	DHRS1	24761404
SEC31B	102276717	NDUFB8	102286156
SIDT2	117066631	TAGLN	117073718
TNFAIP8L2	151129198	SCNM1	151138947
BC110832,LOC728855	149576699	BC065231	145004780
CIRH1A	69184807	TANGO6	69117388
CIRH1A	69184806	TMCO7	69117387
DOPEY2	37573310	DSCR3	38639538
FLJ39739	147931979	BC065231	145004780
HADHB	26502982	RBKS	28004265
HADHB	26502983	RBKS	28070964
HADHB	26502983	RBKS	28070964
HADHB	26502982	RBKS	28070963
ICMT	6283466	KIAA1804	233519144
LAMC2	183209526	LOC100130581	41453550
LOC100286793	143744586	BC065231	145004780
LOC728875	144521008	BC065231	145004780
NDUFA3	54610118	PNMA2	26363247
PRKCSH	11561461	GINS1	25427818
14-Sep	55863785	FLJ45340	128296564
SEPT7P2	45808616	CO9	55840871
TANGO6	69117387	CIRH1A	69184806
TIAM1	32931289	ATP5O	35275756
TIAM1	32537279	ATP5O	35276325
TIAM1	32537279	ATP5O	35276325
TIAM1	32537278	ATP5O	35276324
TMCO7	69117388	CIRH1A	69184807
VEZT	95694720	TTC28	29065487
ZNF18	11898875	TPRKB	73959412
ZNF850	37235850	FLJ22536	21669130
CIRH1A	69184807	TANGO6	69117388
CIRH1A	69184806	TMCO7	69117387
DOPEY2	37573310	DSCR3	38639538
FLJ22536	21669130	C8orf79	12881736
GNG5	84967653	CTBS	85028940
HADHB	26502982	RBKS	28070963
hsa-mir-6723	567947	MMP2	55539989
ICMT	6283466	KIAA1804	233519144
JOSD1	39083320	C6orf132	42096410
LAMC2	183209526	LOC100130581	41453550
MED19	57471774	EIF3H	117661149
MYL6	56552446	LOC124685	69617127
NAP1L1	76441470	CCDC88C	91850853
NDUFA3	54610118	PNMA2	26363247
OPHN1	67290384	PGK1	77380911
PDXK	45153950	AGPAT3	45323900
PRDX1	45984726	IRF1	131817944
14-Sep	55863785	FLJ45340	128296564
SEPT7P2	45808616	CO9	55840871
SLC39A5	56631595	ANKRD52	56631632
SLC8A1	40575261	TTC7A	47251495
TANGO6	69117387	CIRH1A	69184806
TIAM1	32537279	ATP5O	35276325
TIAM1	32537279	ATP5O	35276325
TIAM1	32537278	ATP5O	35276324
TMCO7	69117388	CIRH1A	69184807
TPRKB	73961556	PARP14	122448308
VEZT	95694720	TTC28	29065487
ZBTB8A	33068753	FLJ22536	21669130
ZNF850	37235850	FLJ22536	21669130
ARPC4	9845697	TTLL3	9852305
CALML4	68489966	CLN6	68521840
CHRFAM7A	30675585	ARHGAP11A	32921003
CUX1	101459373	SH2B2	101950004
CUX1	101459372	SH2B2	101950003
MTF1	38280162	EEF2	3977530
NUSAP1	41663725	ZNF445	44499736
RABGGTA	24740516	DHRS1	24761404
RFWD3	74695349	MIS12	5393332
RRM2	10269281	C2orf48	10281981
ATP1B2	7560306	HSD17B12	43877448
EWSR1	29693930	COL9A2	40777779
MLL	118353210	CLTC	57741203
NUPR1L	56183708	PSPH	56088924
PARL	183551280	MAP6D1	183542938
PLCG2	81991612	7SK	81995582
RPL37A	217366185	ZFP36L2	43451147
RRM2	10269281	C2orf48	10281982
SETD2	47205466	TTLL1	43435522
TPX2	30327424	BCL2L1	30310151
CDC16	115016149	GUSBP11	23981129
CECR7	17528316	IL17RA	17577952
DHRS1	24761402	RABGGTA	24740514
ERICH1	665861	C8orf42	444597
FUS	31191547	PISD	32014476
FUS	31191548	PISD	32022002
GAS5	173837124	SOCS7	36508006
MGA	42035370	NAA25	112498163
POLA2	65063461	CDC42EP2	65088015
RAPGEF5	22347958	STEAP1B	22478374
RPL13	89628799	CPNE7	89650105
RPL14	40503496	E2F4	67229823
RPL14	40503465	SREBF2	42262885
RPL29	52027734	ZNF787	56599039
RPL38	72205991	RPS6	19376543
RRM2	10269281	C2orf48	10281982
SRGAP2B	143916308	SRGAP2	206557369
abParts	89999559	Ig_kappa	89156708
BC110832,LOC728855	149576699	BX647792	145013718
C7orf44	43769028	DDX58	32455398
CD74	149786522	ZMIZ2	44805928
CR1	207814712	CLEC2D	9845711
DHRS1	24761403	RABGGTA	24740515
ENSG00000211894	106322321	MYC	128749487
AC008592.3	95170254	GGCT	30538544
FLJ39739	147931903	BC065231	145004780
FLJ39739	147931979	BX647792	145013718
HLA-DPB1	33048711	HLA-DQB2	32723874
HLA-L	30227473	HLA-F	29691434
KHDC1	73952253	C6orf147	74001721
LDLRAP1	25894479	C22orf45	24825667
LOC100132247	21868926	NPIP,LOC339047	18451950
LOC100132247	21868926	NPIP,PKD1P1	16429717
LOC100286793	143744586	BC065231	145004780
LOC100286793	143744586	BX647792	145013718
LOC613037	30257121	NPIP,LOC339047	18451950
LOC613037	30257121	NPIP,PKD1P1	16429717
MAX	65494170	ZNF236	74659607
NCOR1	15933514	KLHL2	166243184
NCRNA00263	102133769	SFTPB	85885206
PDXDC2P	70099850	LOC100132247	22535140
PDXDC2P	70099850	LOC613037	30234349
PDXDC2P	70099850	NPIPL3	29497000
PLCG2	81991612	7SK	81995582
POLA2	65063461	CDC42EP2	65088015
POLA2	65063461	CDC42EP2	65088015
RFWD3	74695349	MIS12	5393332
SEPT7P2	45808616	CO9	55840871
TPRKB	73959412	FAM116A	57612311
TPRKB	73961556	PARP14	122448308
TPRKB	73961556	ZNF273	64390271
UBA2	34957919	WTIP	34981281
UBA2	34957919	WTIP	34981281
ZNF18	11898875	TPRKB	73959412
ZNF655	99158317	LOC100289187	99197827
BC110832,LOC728855	149576699	BC065231	145004780
CALML4	68489966	CLN6	68521840
CCDC144B	18528929	PRPSAP2	18769114
CECR7	17528316	IL17RA	17577952
CLEC2D	9847356	PGPEP1	18476295
CNOT2	70739993	RPLP1	69745153
FARSB	223513459	TRIM61	165890827
FLJ39739	147931979	BC065231	145004780
HLA-DPB1	33048711	HLA-DQB2	32723874
HLA-DPB1	33048711	HLA-DRB1,HLA-DRB5	32546546
HLA-DQB1	32634465	HLA-DPB1	33048448
HLA-DRB1,HLA-DRB5	32498005	HLA-DPB1	33048448
HLA-DRB1,HLA-DRB6	32552154	HLA-DQB2	32723874
LOC100233209	47610225	ACACA	35441926
LOC100286793	143744586	BC065231	145004780
LOC283392	72657177	ACTB	5567340
MIR1204	128808254	PVT1	128902835
PIK3C2B	204392451	PLA2G10	14782128
RABGGTA	24740516	DHRS1	24761404
RNPC3,AMY2B	104097656	GAS5	173834995
RRM2	10269281	C2orf48	10281981
RRM2	10269281	C2orf48	10281982
SUDS3	118825899	RP11-1252I4.2	177398633
TCL6	96137824	TCL1B	96157073
TNFAIP8L2	151129198	SCNM1	151138947
TPRKB	73961556	ZNF273	64390271
VAMP1	6574054	CD27-AS1	6557903
abParts	90078315	abParts	89156873
ARNTL2	27553510	MYB	135515036
BC110832,LOC728855	149576699	BC065231	145004780
BC110832,LOC728855	149576699	BX647792	145013718
C6orf114	13470862	GFOD1	13486870
C8orf42	444597	ERICH1	665861
C8orf42	444596	ERICH1	665860
CD79B	62006609	GH1	61995866
CES2	66974190	EEF2	3980065
CHD4	6690218	GNAS	57478585
CLEC2D	9847356	PGPEP1	18476295
cytochrome_b	15887	PRRC2B	134323048
EIF3L	38247488	LRSAM1	130255137
FAM186B	49989214	PARK7	8037727
FARSB	223513459	TRIM61	165890827
FLJ39739	148176400	BC065231	145004780
FLJ39739	147931979	BX647792	145013718
HLA-A	29912173	HLA-F	29693223
HLA-DPB1	33048711	HLA-DRB1,HLA-DRB6	32522466
HLA-L	30227473	HLA-B	31323298
HLA-L	30227473	HLA-F	29691434
IGKV	89197300	Ig_kappa	89156708
IKZF2	214012431	SPAG16	214625229
LOC100286793	143744586	BC065231	145004780
LOC100286793	143744586	BX647792	145013718
LOC728855	144340772	BC065231	145004780
LOC728875	144521008	BX647792	145013718
MIR1204	128808254	PVT1	128902835
NPIPL1	28769403	LOC100132247	22535140
NPIPL1	29415808	LOC613037	30234349
NPIPL1	28769403	NPIPL3	29497000
RCC1	28834671	PHGDH	120267407
RPL23	37009985	RP1-278E11.3	39926565
RPS24	79793639	RP1-89D4.1	33258611
RUNDC2C	29376379	PLA2G10	14766404
SAMD4B	39847329	BCKDHB	81053999
SMA4	69697494	GTF2H2C,GTF2H2D	68860926
TCL6	96137824	TCL1B	96157073
TXNRD1	104714954	OAS1	113348890
ARIH2	48964895	HAVCR2	156513534
ARPC4	9845697	TTLL3	9852305
BC110832,LOC728855	149576699	BC065231	145004780
BC110832,LOC728855	149576699	BX647792	145013718
C19orf43	12841846	EEF1A1	74229750
CHCHD10	24108315	VPREB3	24095385
ITGB6	161057727	TANK	161993573
AC090587.5	3875962	STIM1	3988778
FARSB	223513459	TRIM61	165890827
FLJ39739	147931979	BC065231	145004780
FLJ39739	147931979	BX647792	145013718
HLA-DPB1	33048711	HLA-DQB2	32723874
HLA-DPB1	33048711	HLA-DRB1,HLA-DRB6	32546546
HLA-DQB2	32731329	HLA-DRB1,HLA-DRB6	32522466
HLA-DRB1,HLA-DRB5	32498005	HLA-DQB1	32627240
HMSD	61627509	SERPINB8	61645533
LOC100286793	143744586	BC065231	145004780
LOC100286793	143744586	BX647792	145013718
LOC728190	89102314	MINPP1	89268092
LOC728190	89005872	MINPP1	89268093
MIR1204	128808254	PVT1	128902835
NUCB2	17316871	FAM119A	208477023
RPL38	72199851	FYTTD1	197505231
TANK	161993573	ITGB6	160998492
TANK	161993574	ITGB6	161062584
THUMPD3	9427607	GNL3L	54589101
ZNF18	11898875	TPRKB	73959412
ABCA17P	2411116	GSTCD	106639195
ARPC4	9845697	TTLL3	9852305
ATP5J	27107699	RP11-340I6.7	63353542
BC110832,LOC728855	149576699	BC065231	145004780
C16orf52	22089601	EEF2	3980978
CCDC144B	18528929	PRPSAP2	18769114
CDC42	22400712	CLEC2D	9847356
CKS2	91930085	TSIX	73020736
CLEC2D	9847356	PGPEP1	18476295
CNOT2	70672053	PTPRB	70916303
CR1	207814712	CLEC2D	9845711
CTNNA2	80800461	AC084193.1	80995559
DHRS1	24761404	RABGGTA	24740516
DIAPH2	96013257	MROH8	35766373
EEF2	3976745	GAPDHP72	166478290
FARSB	223507724	TRIM61	165890630
FLJ39739	147931979	BC065231	145004780
GPR37L1	202098158	FAM120AOS	96212761
GSTCD	106639196	ABCA17P	2411117
LOC100286793	143744586	BC065231	145004780
LOC400960	70278335	GPANK1	31629449
MIR1204	128808254	PVT1	128902835
MROH8	35752201	DIAPH2	96013256
MROH9	170936237	RP1-45C12.1	171137242
NCRNA00263	102133769	SFTPB	85885206
NCRNA00287	125872032	STRBP	125884472
NPIPL1	29415808	LOC100132247	22535140
NPIPL1	29415808	LOC613037	30234349
NPIPL1	29415808	NPIPL3	29497000
OTUD7A	31947299	ST7OT4	116599207
PRR12	50100139	CCT7	73474889
RABGGTA	24740516	DHRS1	24761404
RRM2	10269281	C2orf48	10281981
RRM2	10269281	C2orf48	10281982
SMAD2	45374845	HHAT	210536200
SYT15	46964019	LOC728190	89048199
TERF2	69400732	AARS	70323348
TIMM23B	51387763	LINC00843	51732772
TPRKB	73959412	FAM116A	57612311
TPRKB	73961556	PARP14	122448308
TPRKB	73961556	ZNF273	64390271
VAMP1	6574056	CD27-AS1	6557923
WDR55	140049641	HECA	139499736
ZNF776	58269164	COPS6	99688660
ARPC4	9845697	TTLL3	9852305
ATP1B2	7560306	HSD17B12	43877448
C16orf61	81010076	FANCD2	10143212
CBX5	54631849	MVD	88725128
CKS2	91930085	TSIX	73020736
HLA-A	29912173	HLA-F	29693223
HLA-L	30227473	HLA-B	31323298
HLA-L	30227473	HLA-F	29691434
IPO7	9455117	SWAP70	9685825
IPO7	9455116	SWAP70	9685824
LAPTM5	31211908	LOC284889	24236595
LBR	225603023	VILL	38045832
LOC100130581	41453649	GM2A	150648253
LOC728855	149576699	BC065231	145004780
NAIP	69407509	OCLN	68830520
NCOR1	15933514	KLHL2	166243184
NCRNA00263	102133769	SFTPB	85885206
NHP2L1	42084912	LLPH	66516848
OCLN	68830521	NAIP	70275696
PDE4DIP	144877271	EIF1AX	20159743
PRCP	82571158	RP11-659G9.3	82687636
RRM2	10269281	C2orf48	10281981
RUNDC2C	29376379	PLA2G10	14766404
SEPT7P2	45808616	CO9	55840871
SEPT7P2	45808616	PSPH	56078743
SEPT7P2	45808259	PSPH	56088924
SLC11A2	51373841	MCM3	52130873
SWAP70	9685824	IPO7	9455116
SWAP70	9685825	IPO7	9455117
TIMM23B	51387763	LINC00843	51732772
LOC389641	23085666	CHMP7	23103769
MRGPRX3	18142711	WDR66	122437622
NUCB2	17316871	FAM119A	208477023
PLCG2	81991612	7SK	81995582
RRM2	10269281	C2orf48	10281981
THEM4	151861849	OPA3	46051032
TPRKB	73961556	PARP14	122448308
TPRKB	73961556	ZNF273	64390271
UBA2	34957919	WTIP	34981281
AD_1	10404	HSPH1	31710762
AD_1	10404	SUZ12	30274635
AD_1	10404	TOP2B	25639474
AD_1	10404	TVAS5	1755
AK000470	3820040	LOC389906	3735575
AP2M1	183901878	RPS2	2012061
APOLD1	12943082	TPRKB	73959410
ARIH2	48964900	C3orf27	128293142
ARPC4	9845697	TTLL3	9852305
BCL2L11	111926021	ZFP91	58380234
BPTF	65822453	AMZ2	66244781
C16orf61	81010076	FANCD2	10143212
C1QBP	5338286	STAU1	47795707
C6orf114	13470862	GFOD1	13486870
CALML4	68489966	CLN6	68510874
CCNB1IP1	20784386	NOS3	150700425
CHRFAM7A	30675585	ARHGAP11A	32921003
COPS3	17150162	NFKBIZ	101579633
COX6C	100890377	BZW1	201687666
CTCFL	56073691	C3orf71	48955535
cytochrome_b	15887	FAM164A	79590797
cytochrome_b	15887	NEK3	52706778
cytochrome_b	15887	WDR36	110459502
DGKA	56345407	STARD4	110835257
DHRS1	24761643	RABGGTA	24740516
DZIP1	96232466	CAD	27460247
FAM48A	37625720	ASTN2	119375522
FARSB	223507724	TRIM61	165890630
FLJ39739	147931979	BC023516	149291203
FLJ39739	148176400	BC065231	145004780
GLYCTK	52325125	DNAH1	52350469
JTB	153946998	BTG1	92537730
KHDC1	73952253	C6orf147	74001721
KIAA1267	44302739	ARL17A	44630121
KIAA1267	44302739	ARL17B	44412267
LEPROT	65898236	MFNG	37865122
LOC100233209	47610225	ACACA	35441926
LOC100233209	47610225	HMOX2	4552744
LOC100286793	143744586	BC023516	149291203
LOC100286793	143744586	BC065231	145004780
LOC389641	23085666	CHMP7	23103769
LOC645513	120381396	PSPH	56078743
LOC728190	89102314	SYT15	46955443
LOC728855	144340772	BC065231	145004780
LOC728875	144521008	BC065231	145004780
LOC728875	144521008	BX647792	145013718
LRMP	25216750	CENPN	81063365
MDM4	204524304	UTP6	30195065
METTL10	126448886	FAM53B	126395456
MFSD4	205570895	C12orf45	105388427
MIR1204	128808254	PVT1	128902835
MMS22L	97592949	CBX3	26252194
NCOR1	15933514	KLHL2	166243184
NCOR1	15933514	RAB10	26350013
NDUFA1	119010625	HMGCR	74655831
NHP2L1	42084912	LLPH	66516848
NUSAP1	41663725	ZNF445	44499736
P4HA1	74837571	HAUS2	42851606
PDE4DIP	144877271	EIF1AX	20159743
PDXDC2P	70099850	LOC100132247	22535140
PDXDC2P	70099850	LOC613037	30234349
PDXDC2P	70099850	NPIPL3	29497000
PEX26	18572497	HOOK3	42876838
PEX26	18572497	WDR55	140049641
PPRC1	103909086	NOLC1	103916776
