CHROMOSOME	ARM	BAND	ABERRATION	CODE	ORGAN	TOTAL_CASES	GENE	CHR_ORDER	TYPE
10	p	12	add(10)(p12)	1820		4		10	U
10	p	12	del(10)(p12)	1103		2		10	U
10	p	12	del(10)(p12)	1107		2		10	U
10	p	12	del(10)(p12)	1108		5		10	U
10	p	12	del(10)(p12)	1602		5		10	U
10	p	12	del(10)(p12)	1702		3		10	U
10	p	12	del(10)(p12)	1801		3		10	U
10	p	12	del(10)(p12)	1820		3		10	U
10	p	12	del(10)(p12)	1926		2		10	U
10	p	12	del(10)(p12)	3111	0107	2		10	U
10	p	12	del(10)(p12)	3111	0401	4		10	U
10	p	12	del(10)(p12)	3111	0501	6		10	U
10	p	12	del(10)(p12)	5104	0801	4		10	U
10	p	12	del(10)(p12)	8004	0902	2		10	U
10	p	12	del(10)(p12)	8310	0505	2		10	U
10	p	12	der(10)ins(10;11)(p12;q23q23)	1108		2		10	U
10	p	12	der(10)t(10;11)(p12;q23)	1108		2		10	U
10	p	12	der(10)t(10;11)(p12;q23)	1109		2		10	U
10	p	12	der(10)t(10;11)(p12;q23)inv(11)(q13q23)	1107		2		10	U
10	p	12	der(10)t(10;11)(p12;q23)inv(11)(q13q23)	1108		7		10	U
10	p	12	der(10)t(10;11)(p12;q23)inv(11)(q13q23)	1109		4		10	U
10	p	12	der(11)t(10;11)(p12;q13)	1108		8		10	U
10	p	12	ins(10;11)(p12;q23q13)	1102		2	KMT2A/MLLT10	10	B
10	p	12	ins(10;11)(p12;q23q13)	1108		2	KMT2A/MLLT10,KMT2A+	10	B
10	p	12	ins(10;11)(p12;q23q13)	1109		4	KMT2A/MLLT10	10	B
10	p	12	ins(10;11)(p12;q23q13)	1602		2	KMT2A/MLLT10	10	B
10	p	12	ins(10;11)(p12;q23q23)	1108		2	KMT2A/MLLT10,MLLT10/CLP1,KMT2A+	10	B
10	p	12	ins(10;11)(p12;q23q23)	1602		2	KMT2A+,KMT2A/MLLT10	10	B
10	p	12	t(10;11)(p12;q14)	1602		5	MLLT10/PICALM,PICALM/MLLT10,PICALM+	10	B
10	p	12	t(10;11)(p12;q21)	1108		2		10	B
10	p	12	t(10;11)(p12;q21)	1602		4		10	B
10	p	12	t(10;11)(p12;q23)	1102		3	KMT2A/MLLT10	10	B
10	p	12	t(10;11)(p12;q23)	1103		2	KMT2A/MLLT10	10	B
10	p	12	t(10;11)(p12;q23)	1107		3	KMT2A/ABI1,KMT2A/MLLT10,MLLT10/KMT2A	10	B
10	p	12	t(10;11)(p12;q23)	1108		6	KMT2A/MLLT10,KMT2A+,MLLT10/CEP164,MLLT10/KMT2A,MLLT10/PPP2R1B	10	B
10	p	12	t(10;11)(p12;q23)	1109		5	KMT2A/ABI1,KMT2A/MLLT10,KMT2A+	10	B
10	p	12	t(10;11)(p12;q23)	1110		3	KMT2A/ABI1,KMT2A/MLLT10	10	B
10	p	12	t(10;11)(p12;q23)	1602		3	KMT2A/MLLT10	10	B
10	p	12	t(10;14)(p12;q32)	1602		3		10	B
10	p	12	t(10;14)(p12;q32)	1802		4	IGH/BMI1	10	B
10	p	13	add(10)(p13)	1101		3		10	U
10	p	13	add(10)(p13)	1103		2		10	U
10	p	13	add(10)(p13)	1107		2		10	U
10	p	13	add(10)(p13)	1108		2		10	U
10	p	13	add(10)(p13)	1202		4		10	U
10	p	13	add(10)(p13)	1602		2		10	U
10	p	13	add(10)(p13)	1702		3		10	U
10	p	13	add(10)(p13)	1808		3		10	U
10	p	13	add(10)(p13)	1810		2		10	U
10	p	13	add(10)(p13)	3111	0107	2		10	U
10	p	13	add(10)(p13)	3111	0501	2		10	U
10	p	13	add(10)(p13)	3111	0704	2		10	U
10	p	13	add(10)(p13)	3903	0601	2		10	U
10	p	13	add(10)(p13)	5104	0801	3		10	U
10	p	13	del(10)(p11p13)	1101		2		10	U
10	p	13	del(10)(p11p13)	1926		4		10	U
10	p	13	del(10)(p13)	1113		2		10	U
10	p	13	del(10)(p13)	1602		3		10	U
10	p	13	del(10)(p13)	1702		5		10	U
10	p	13	del(10)(p13)	1801		4		10	U
10	p	13	del(10)(p13)	1820		2		10	U
10	p	13	del(10)(p13)	1901		2		10	U
10	p	13	del(10)(p13)	1902		2		10	U
10	p	13	del(10)(p13)	1906		3		10	U
10	p	13	del(10)(p13)	1908		3		10	U
10	p	13	del(10)(p13)	1926		6		10	U
10	p	13	del(10)(p13)	3111	0107	2		10	U
10	p	13	del(10)(p13)	3111	0501	2		10	U
10	p	13	del(10)(p13)	3111	0602	3		10	U
10	p	13	del(10)(p13)	3121	0208	3		10	U
10	p	13	del(10)(p13)	3905	0601	3		10	U
10	p	13	del(10)(p13)	8541	0902	2		10	U
10	p	13	del(10)(p13)	8710	0901	2		10	U
10	p	13	del(10)(p13p14)	1602		2		10	U
10	p	13	ins(10;11)(p13;q23q13)	1101		2	KMT2A+	10	B
10	p	13	ins(10;11)(p13;q23q21)	1108		2		10	B
10	p	13	t(10;11)(p13;q13)	1101		2		10	B
10	p	13	t(10;11)(p13;q13)	1109		2		10	B
10	p	13	t(10;11)(p13;q13)	1602		3		10	B
10	p	13	t(10;11)(p13;q14)	1101		3		10	B
10	p	13	t(10;11)(p13;q14)	1103		6		10	B
10	p	13	t(10;11)(p13;q14)	1109		5		10	B
10	p	13	t(10;11)(p13;q14)	1602		16		10	B
10	p	13	t(10;11)(p13;q21)	1101		4		10	B
10	p	13	t(10;11)(p13;q21)	1102		4		10	B
10	p	13	t(10;11)(p13;q21)	1103		2		10	B
10	p	13	t(10;11)(p13;q21)	1108		5		10	B
10	p	13	t(10;11)(p13;q21)	1602		16		10	B
10	p	13	t(10;11)(p13;q23)	1107		2	KMT2A+	10	B
10	p	13	t(10;11)(p13;q23)	1108		4	KMT2A+	10	B
10	p	13	t(3;10)(p21;p13)	1820		2		10	B
10	p	14	del(10)(p13p14)	1602		2		10	U
10	p	14	del(10)(p14)	1104		2		10	U
10	p	14	del(10)(p14)	1602		2		10	U
10	p	14	del(10)(p14)	1820		2		10	U
10	p	14	del(10)(p14)	1926		2		10	U
10	p	14	t(10;11)(p14;q13)	1107		2		10	B
10	p	14	t(10;11)(p14;q14)	1602		4		10	B
10	p	14	t(10;11)(p14;q21)	1108		2		10	B
10	p	14	t(10;11)(p14;q21)	1117		2		10	B
10	p	14	t(10;11)(p14;q21)	1602		3		10	B
10	p	14	t(1;10)(q21;p14)	1802		2		10	B
10	p	14	t(9;22;10)(q34;q11;p14)	1203		2	BCR/ABL1	10	B
10	p	15	add(10)(p15)	1103		2		10	U
10	p	15	add(10)(p15)	1104		2		10	U
10	p	15	add(10)(p15)	1202		2		10	U
10	p	15	add(10)(p15)	1602		8		10	U
10	p	15	add(10)(p15)	1702		5		10	U
10	p	15	add(10)(p15)	1801		3		10	U
10	p	15	add(10)(p15)	1808		7		10	U
10	p	15	add(10)(p15)	1810		5		10	U
10	p	15	add(10)(p15)	1820		7		10	U
10	p	15	add(10)(p15)	1908		2		10	U
10	p	15	add(10)(p15)	3111	0107	3		10	U
10	p	15	add(10)(p15)	3111	0501	7		10	U
10	p	15	add(10)(p15)	3121	0208	2		10	U
10	p	15	add(10)(p15)	8310	0902	2		10	U
10	p	15	del(10)(p11p15)	1906		2		10	U
10	p	15	der(10)t(10;13)(p15;q22)	1602		2		10	U
10	p	15	der(10)t(1;10)(q12;p15)	1702		2		10	U
10	p	15	inv(10)(p15q22)	1602		2		10	B
10	p	15	t(10;11)(p15;q23)	1108		2	KMT2A+	10	B
10	p	15	t(10;12)(p15;q15)	3199	0210	2		10	B
10	p	15	t(10;17)(p15;q21)	1102		3	MBTD1/ZMYND11,ZMYND11/MBTD1	10	B
10	p	15	t(10;17)(p15;q21)	1103		6		10	B
10	p	15	t(9;22;10)(q34;q11;p15)	1203		2		10	B
10	q	10	der(10;13)(q10;q10)	8522	0902	2		10	U
10	q	10	der(10;14)(q10;q10)	3121	0105	2		10	U
10	q	10	der(10;15)(q10;q10)	1702		2		10	U
10	q	10	der(10;17)(q10;q10)	1801		2		10	U
10	q	10	der(10;22)(q10;q10)	3121	0203	3		10	U
10	q	10	der(8;10)(q10;q10)	3111	0218	2		10	U
10	q	10	i(10)(q10)	1101		2		10	U
10	q	10	i(10)(q10)	1702		2		10	U
10	q	10	i(10)(q10)	1820		2		10	U
10	q	10	i(10)(q10)	3104	0107	2		10	U
10	q	10	i(10)(q10)	3111	0218	4		10	U
10	q	10	i(10)(q10)	3111	0301	3		10	U
10	q	10	i(10)(q10)	3111	0401	3		10	U
10	q	10	i(10)(q10)	3121	0105	2		10	U
10	q	10	i(10)(q10)	3121	0107	2		10	U
10	q	10	i(10)(q10)	3121	0203	3		10	U
10	q	10	i(10)(q10)	3121	0208	3		10	U
10	q	11	add(10)(q11)	1820		2		10	U
10	q	11	del(10)(q11)	1112		2		10	U
10	q	11	del(10)(q11)	1202		2		10	U
10	q	11	del(10)(q11)	8710	0901	3		10	U
10	q	11	der(11)t(10;11)(q11;p11)	1906		2		10	U
10	q	11	der(1)t(1;10)(p12;q11)	3121	0103	2		10	U
10	q	11	dup(10)(q11q26)	1602		2		10	U
10	q	11	ins(12;10)(q15;q11q26)	8619	0107	2		10	B
10	q	11	inv(10)(q11q21)	3111	0704	6	CCDC6/RET	10	B
10	q	11	t(9;22;10)(q34;q11;q11)	1203		3	BCR/ABL1	10	B
10	q	21	del(10)(q21)	1602		3		10	U
10	q	21	inv(10)(q11q21)	3111	0704	6	CCDC6/RET	10	B
10	q	21	t(5;10)(q32;q21)	1406		2	CCDC6/PDGFRB	10	B
10	q	21	t(5;10)(q33;q21)	1101		2		10	B
10	q	21	t(7;10)(q35;q21)	3111	0704	2		10	B
10	q	22	add(10)(q22)	1101		3		10	U
10	q	22	add(10)(q22)	1112		2		10	U
10	q	22	add(10)(q22)	1113		2		10	U
10	q	22	add(10)(q22)	1602		9		10	U
10	q	22	add(10)(q22)	1702		3		10	U
10	q	22	add(10)(q22)	1801		2		10	U
10	q	22	add(10)(q22)	1810		10		10	U
10	q	22	add(10)(q22)	1820		7		10	U
10	q	22	add(10)(q22)	1906		2		10	U
10	q	22	add(10)(q22)	3111	0501	3		10	U
10	q	22	add(10)(q22)	8304	0505	2		10	U
10	q	22	add(10)(q22)	8325	0902	2		10	U
10	q	22	add(10)(q22)	8710	0901	2		10	U
10	q	22	del(10)(q22)	1101		2		10	U
10	q	22	del(10)(q22)	1602		14		10	U
10	q	22	del(10)(q22)	1801		2		10	U
10	q	22	del(10)(q22)	1802		3		10	U
10	q	22	del(10)(q22)	1810		9		10	U
10	q	22	del(10)(q22)	1820		7		10	U
10	q	22	del(10)(q22)	3111	0227	4		10	U
10	q	22	del(10)(q22)	3111	0401	3		10	U
10	q	22	del(10)(q22)	3131	0305	3		10	U
10	q	22	del(10)(q22)	5104	0801	2		10	U
10	q	22	del(10)(q22)	5220	0801	2		10	U
10	q	22	del(10)(q22)	8516	0902	2		10	U
10	q	22	del(10)(q22)	8813	0505	2		10	U
10	q	22	del(10)(q22q23)	1802		2		10	U
10	q	22	del(10)(q22q24)	1602		3		10	U
10	q	22	del(10)(q22q24)	1802		5		10	U
10	q	22	del(10)(q22q24)	1810		28		10	U
10	q	22	del(10)(q22q24)	1816		3		10	U
10	q	22	del(10)(q22q24)	1820		10		10	U
10	q	22	del(10)(q22q24)	1822		3		10	U
10	q	22	del(10)(q22q24)	3131	0305	2		10	U
10	q	22	del(10)(q22q24)	8304	0505	3		10	U
10	q	22	del(10)(q22q26)	1602		3		10	U
10	q	22	del(10)(q22q26)	1810		2		10	U
10	q	22	der(10)t(1;10)(q21;q22)	1101		2		10	U
10	q	22	der(10)t(6;10)(p12;q22)	1810		2		10	U
10	q	22	der(17)t(10;17)(q22;p13)	8813	0505	2		10	U
10	q	22	dup(10)(q22q25)	1810		2		10	U
10	q	22	inv(10)(p15q22)	1602		2		10	B
10	q	22	t(10;11)(q22;q23)	1107		5	KMT2A+	10	B
10	q	22	t(10;12)(q22;q15)	8004	0902	2	HMGA2+	10	B
10	q	22	t(10;12)(q22;q15)	8304	0505	3		10	B
10	q	22	t(10;14;19)(q22;q32;q13)	1802		2		10	B
10	q	22	t(10;14)(q22;q32)	1802		3		10	B
10	q	22	t(10;17;12)(q22;p11;q13)	8813	0505	2		10	B
10	q	22	t(10;17)(q22;p13)	8531	0301	2	YWHAE/NUTM2B,YWHAE/NUTM2E	10	B
10	q	22	t(10;17)(q22;p13)	8813	0505	16	YWHAE/NUTM2B	10	B
10	q	22	t(10;21)(q22;q21)	8522	0902	2		10	B
10	q	22	t(10;21)(q22;q22)	1602		2	NDST2/RUNX1	10	B
10	q	22	t(10;22)(q22;q11)	1203		2		10	B
10	q	22	t(2;10)(p23;q22)	1802		2		10	B
10	q	22	t(3;10)(p14;q22)	1808		2		10	B
10	q	22	t(6;10)(p21;q22)	8304	0505	7		10	B
10	q	22	t(6;10)(p21;q22)	8619	0107	4	HMGA1+	10	B
10	q	22	t(8;10)(q12;q22)	3003	0210	2	PLAG1+	10	B
10	q	22	t(8;10)(q24;q22)	1602		2		10	B
10	q	22	t(9;10;22)(q34;q22;q11)	1203		2	BCR+	10	B
10	q	22	t(9;10)(q34;q22)	1602		2		10	B
10	q	22	t(9;22;10)(q34;q11;q22)	1203		9	BCR/ABL1	10	B
10	q	22	t(9;22;19;10)(q34;q11;p13;q22)	1203		3		10	B
10	q	23	del(10)(q22q23)	1802		2		10	U
10	q	23	del(10)(q23)	1602		5		10	U
10	q	23	del(10)(q23)	1810		5		10	U
10	q	23	del(10)(q23)	1902		2		10	U
10	q	23	del(10)(q23)	1926		3		10	U
10	q	23	del(10)(q23)	3111	0216	2		10	U
10	q	23	del(10)(q23)	3111	0501	2		10	U
10	q	23	del(10)(q23)	8501	0902	2		10	U
10	q	23	del(10)(q23q24)	1810		2		10	U
10	q	23	del(10)(q23q25)	1801		2		10	U
10	q	23	t(10;14)(q23;q32)	1810		2		10	B
10	q	24	add(10)(q24)	1101		2		10	U
10	q	24	add(10)(q24)	1602		6		10	U
10	q	24	add(10)(q24)	1702		6		10	U
10	q	24	add(10)(q24)	1801		2		10	U
10	q	24	add(10)(q24)	1802		3		10	U
10	q	24	add(10)(q24)	1804		2		10	U
10	q	24	add(10)(q24)	1808		4		10	U
10	q	24	add(10)(q24)	1816		2		10	U
10	q	24	add(10)(q24)	1820		4		10	U
10	q	24	add(10)(q24)	1822		2		10	U
10	q	24	add(10)(q24)	1835		2		10	U
10	q	24	add(10)(q24)	1908		2		10	U
10	q	24	add(10)(q24)	1926		3		10	U
10	q	24	add(10)(q24)	3111	0401	2		10	U
10	q	24	add(10)(q24)	3111	0501	2		10	U
10	q	24	add(10)(q24)	3111	0602	2		10	U
10	q	24	add(10)(q24)	8541	0902	2		10	U
10	q	24	del(10)(q22q24)	1602		3		10	U
10	q	24	del(10)(q22q24)	1802		5		10	U
10	q	24	del(10)(q22q24)	1810		28		10	U
10	q	24	del(10)(q22q24)	1816		3		10	U
10	q	24	del(10)(q22q24)	1820		10		10	U
10	q	24	del(10)(q22q24)	1822		3		10	U
10	q	24	del(10)(q22q24)	3131	0305	2		10	U
10	q	24	del(10)(q22q24)	8304	0505	3		10	U
10	q	24	del(10)(q23q24)	1810		2		10	U
10	q	24	del(10)(q24)	1101		4		10	U
10	q	24	del(10)(q24)	1103		2		10	U
10	q	24	del(10)(q24)	1106		3		10	U
10	q	24	del(10)(q24)	1112		4		10	U
10	q	24	del(10)(q24)	1202		2		10	U
10	q	24	del(10)(q24)	1602		19		10	U
10	q	24	del(10)(q24)	1702		6		10	U
10	q	24	del(10)(q24)	1801		5		10	U
10	q	24	del(10)(q24)	1802		9	NFKB2+	10	U
10	q	24	del(10)(q24)	1808		9		10	U
10	q	24	del(10)(q24)	1810		14		10	U
10	q	24	del(10)(q24)	1816		2		10	U
10	q	24	del(10)(q24)	1820		13		10	U
10	q	24	del(10)(q24)	1822		3		10	U
10	q	24	del(10)(q24)	1906		2	NFKB2+	10	U
10	q	24	del(10)(q24)	1926		2		10	U
10	q	24	del(10)(q24)	3103	0602	2		10	U
10	q	24	del(10)(q24)	3111	0216	2		10	U
10	q	24	del(10)(q24)	3111	0227	5	NT5C2/ASAH2	10	U
10	q	24	del(10)(q24)	3111	0301	2		10	U
10	q	24	del(10)(q24)	3111	0401	4		10	U
10	q	24	del(10)(q24)	3111	0501	2		10	U
10	q	24	del(10)(q24)	3111	0602	8		10	U
10	q	24	del(10)(q24)	3131	0305	2		10	U
10	q	24	del(10)(q24)	5104	0801	4		10	U
10	q	24	del(10)(q24)	6011	1410	2		10	U
10	q	24	del(10)(q24)	8810	0109	5		10	U
10	q	24	del(10)(q24q26)	1104		2		10	U
10	q	24	del(10)(q24q26)	1203		2		10	U
10	q	24	del(10)(q24q26)	1810		4		10	U
10	q	24	der(10)t(10;14)(q24;q11)	1602		2		10	U
10	q	24	der(10)t(1;10)(p22;q24)	8136	0902	4		10	U
10	q	24	t(10;12)(q24;p13)	1101		3	ETV6/GOT1	10	B
10	q	24	t(10;13)(q24;q14)	1802		2		10	B
10	q	24	t(10;13)(q24;q34)	1810		2		10	B
10	q	24	t(10;14)(q24;q11)	1602		65	TLX1NB/TRDC,TRA+,TRD/TLX1	10	B
10	q	24	t(10;14)(q24;q11)	1802		3		10	B
10	q	24	t(10;17)(q24;q24)	8304	0505	2		10	B
10	q	24	t(10;18)(q24;q21)	1108		2		10	B
10	q	24	t(1;10)(p22;q24)	8136	0902	2	MGEA5+,TGFBR3+	10	B
10	q	24	t(1;10)(q21;q24)	1802		2		10	B
10	q	24	t(1;11;10)(p32;q23;q24)	1108		2	KMT2A/EPS15,NT5C2/KMT2A	10	B
10	q	24	t(6;10)(q27;q24)	3003	0227	2		10	B
10	q	24	t(7;10)(q22;q24)	1602		2		10	B
10	q	24	t(7;10)(q34;q24)	1602		21	TRB/TLX1,TRB+	10	B
10	q	24	t(8;10;21)(q22;q24;q22)	1101		2	RUNX1/RUNX1T1	10	B
10	q	24	t(9;10;22)(q34;q24;q11)	1203		2	BCR/ABL1	10	B
10	q	25	add(10)(q25)	1602		2		10	U
10	q	25	add(10)(q25)	1808		2		10	U
10	q	25	add(10)(q25)	1820		2		10	U
10	q	25	del(10)(q23q25)	1801		2		10	U
10	q	25	del(10)(q25)	1101		4		10	U
10	q	25	del(10)(q25)	1602		3		10	U
10	q	25	del(10)(q25)	1810		2		10	U
10	q	25	del(10)(q25)	1820		4		10	U
10	q	25	del(10)(q25)	1902		2		10	U
10	q	25	del(10)(q25)	3111	0501	2		10	U
10	q	25	der(10)t(6;10)(p12;q25)	1810		2		10	U
10	q	25	dup(10)(q22q25)	1810		2		10	U
10	q	25	t(10;22)(q25;q13)	1202		2		10	B
10	q	26	add(10)(q26)	1101		3		10	U
10	q	26	add(10)(q26)	1106		2		10	U
10	q	26	add(10)(q26)	1112		2		10	U
10	q	26	add(10)(q26)	1202		3		10	U
10	q	26	add(10)(q26)	1702		14		10	U
10	q	26	add(10)(q26)	1801		2		10	U
10	q	26	add(10)(q26)	1802		3		10	U
10	q	26	add(10)(q26)	1804		2		10	U
10	q	26	add(10)(q26)	1808		3		10	U
10	q	26	add(10)(q26)	1810		4		10	U
10	q	26	add(10)(q26)	1820		4		10	U
10	q	26	add(10)(q26)	1822		2		10	U
10	q	26	add(10)(q26)	1906		2		10	U
10	q	26	add(10)(q26)	1926		2		10	U
10	q	26	add(10)(q26)	3111	0107	3		10	U
10	q	26	add(10)(q26)	3111	0216	2		10	U
10	q	26	add(10)(q26)	3111	0218	3		10	U
10	q	26	add(10)(q26)	3111	0401	6		10	U
10	q	26	add(10)(q26)	3111	0501	5		10	U
10	q	26	add(10)(q26)	3121	0208	2		10	U
10	q	26	add(10)(q26)	3903	0601	2		10	U
10	q	26	add(10)(q26)	5104	0801	3		10	U
10	q	26	del(10)(q22q26)	1602		3		10	U
10	q	26	del(10)(q22q26)	1810		2		10	U
10	q	26	del(10)(q24q26)	1104		2		10	U
10	q	26	del(10)(q24q26)	1203		2		10	U
10	q	26	del(10)(q24q26)	1810		4		10	U
10	q	26	del(10)(q26)	5104	0801	3		10	U
10	q	26	der(10)t(1;10)(q12;q26)	1702		6		10	U
10	q	26	der(10)t(5;10)(q31;q26)	1902		2		10	U
10	q	26	dup(10)(q11q26)	1602		2		10	U
10	q	26	ins(12;10)(q15;q11q26)	8619	0107	2		10	B
10	q	26	t(10;12)(q26;q22)	1101		2		10	B
10	q	26	t(10;13)(q26;q14)	1802		2		10	B
10	q	26	t(10;14)(q26;q11)	1602		2		10	B
10	q	26	t(10;15)(q26;q14)	1202		2		10	B
10	q	26	t(10;22)(q26;q11)	1203		5	BCR+	10	B
10	q	26	t(1;10)(q12;q26)	1810		2		10	B
11	p	10	add(11)(p10)	3111	0218	2		11	U
11	p	10	i(11)(p10)	1810		2		11	U
11	p	10	i(11)(p10)	3125	1101	2		11	U
11	p	11	add(11)(p11)	1101		10		11	U
11	p	11	add(11)(p11)	1104		5		11	U
11	p	11	add(11)(p11)	1108		2		11	U
11	p	11	add(11)(p11)	1112		4		11	U
11	p	11	add(11)(p11)	1113		2		11	U
11	p	11	add(11)(p11)	1202		3		11	U
11	p	11	add(11)(p11)	1602		13		11	U
11	p	11	add(11)(p11)	1702		8		11	U
11	p	11	add(11)(p11)	1820		5		11	U
11	p	11	add(11)(p11)	1926		2		11	U
11	p	11	add(11)(p11)	3111	0107	4		11	U
11	p	11	add(11)(p11)	3111	0216	2		11	U
11	p	11	add(11)(p11)	3111	0218	4		11	U
11	p	11	add(11)(p11)	3111	0222	3		11	U
11	p	11	add(11)(p11)	3111	0401	9		11	U
11	p	11	add(11)(p11)	3111	0501	2		11	U
11	p	11	add(11)(p11)	3121	0105	2		11	U
11	p	11	add(11)(p11)	3121	0107	2		11	U
11	p	11	add(11)(p11)	3121	0208	2		11	U
11	p	11	add(11)(p11)	3131	0305	2		11	U
11	p	11	add(11)(p11)	3135	0301	2		11	U
11	p	11	add(11)(p11)	3902	0601	2		11	U
11	p	11	add(11)(p11)	5104	0801	3		11	U
11	p	11	add(11)(p11)	8004	0902	2		11	U
11	p	11	add(11)(p11)	8310	0902	2		11	U
11	p	11	add(11)(p11)	8622	0901	2		11	U
11	p	11	add(11)(p11)	8804	0801	3		11	U
11	p	11	del(11)(p11)	1101		5		11	U
11	p	11	del(11)(p11)	1102		3		11	U
11	p	11	del(11)(p11)	1103		3		11	U
11	p	11	del(11)(p11)	1112		2		11	U
11	p	11	del(11)(p11)	1113		3		11	U
11	p	11	del(11)(p11)	1602		5		11	U
11	p	11	del(11)(p11)	1702		5		11	U
11	p	11	del(11)(p11)	1808		3		11	U
11	p	11	del(11)(p11)	1922		2		11	U
11	p	11	del(11)(p11)	3111	0107	4		11	U
11	p	11	del(11)(p11)	3111	0501	4		11	U
11	p	11	del(11)(p11)	3121	0107	5		11	U
11	p	11	del(11)(p11)	3121	0203	4		11	U
11	p	11	del(11)(p11)	3135	0301	2		11	U
11	p	11	del(11)(p11)	5104	0801	4		11	U
11	p	11	del(11)(p11)	5213	0703	3		11	U
11	p	11	del(11)(p11)	8137	0902	4		11	U
11	p	11	del(11)(p11)	8522	0902	2		11	U
11	p	11	del(11)(p11)	8541	0902	4		11	U
11	p	11	del(11)(p11)	8710	0901	3		11	U
11	p	11	del(11)(p11)	8734	0901	5		11	U
11	p	11	del(11)(p11p13)	1101		2		11	U
11	p	11	del(11)(p11p13)	1602		4		11	U
11	p	11	del(11)(p11p13)	1702		3		11	U
11	p	11	del(11)(p11p13)	3111	0401	3		11	U
11	p	11	del(11)(p11p13)	3135	0301	2		11	U
11	p	11	del(11)(p11p14)	1101		2		11	U
11	p	11	del(11)(p11p14)	3135	0301	2		11	U
11	p	11	del(11)(p11p15)	1101		4		11	U
11	p	11	del(11)(p11p15)	1104		2		11	U
11	p	11	del(11)(p11p15)	1702		3		11	U
11	p	11	der(11)t(10;11)(q11;p11)	1906		2		11	U
11	p	11	der(11)t(8;11)(q11;p11)	5220	0804	2		11	U
11	p	11	der(17)t(11;17)(p11;p11)	1802		2		11	U
11	p	11	der(7;11)ins(7;11)(p14;p11q25)t(7;11)(p22;p11)	1202		2		11	U
11	p	11	der(7)t(7;11)(p12;p11)add(7)(q35)	1202		2		11	U
11	p	11	der(9)t(9;11)(q11;p11)	1808		2		11	U
11	p	11	dic(7;11)(q11;p11)	1102		2		11	U
11	p	11	idic(11)(p11)	1101		2		11	U
11	p	11	idic(11)(p11)	1103		3		11	U
11	p	11	inv(11)(p11q23)	1202		2		11	B
11	p	11	t(11;12)(p11;p13)	1602		2		11	B
11	p	11	t(11;14)(p11;q32)	1816		3	IGH+	11	B
11	p	11	t(1;11)(p34;p11)	1602		2		11	B
11	p	12	add(11)(p12)	1101		4		11	U
11	p	12	add(11)(p12)	1820		2		11	U
11	p	12	add(11)(p12)	3111	0401	2		11	U
11	p	12	add(11)(p12)	8710	0901	3		11	U
