DGR_ID	Length	TR_number	Pair_number
NZ_LPKL01000043.1	2119	1	2
NZ_LPMJ01000057.1	9673	1	3
NZ_LPMK01000004.1	3973	1	3
NZ_FCKV01000010.1	1786	1	1
NZ_LCYC01000058.1	2381	1	2
NZ_AP013042.1	283399	1	4
NZ_AP014951.1	3571844	1	1
NZ_LRUJ01000041.1	40845	1	2
NZ_LNRF01000008.1	2132	1	1
NZ_BCTL01000102.1	2173	1	1
NZ_CP014474.1	2061581	1	1
NZ_JYFV01000006.1	1978	1	1
NZ_CP014517.1	284717	1	1
NZ_KQ968198.1	1133	1	1
NZ_KQ968401.1	36610	1	2
NZ_LQYW01000149.1	1709	1	1
NZ_JXDL01000001.1	7465107	1	206
NZ_BCVW01000039.1	1255	1	1
NZ_LOBR01000032.1	1626	1	1
NZ_BCYO01000003.1	11601	1	3
NZ_CP015036.1	368947	1	5
NZ_CP015098.1	645837	1	1
NZ_LMUC01000012.1	13462	5	5
NZ_CP015377.1	2429	1	2
NZ_CP015286.1	1473668	1	1
NZ_CP011789.1	5100533	1	5
NZ_LUCV01000049.1	7117	1	3
NZ_CP015600.1	2744863	1	5
NZ_LVVY01000130.1	28825	1	2
NZ_LBCW01000293.1	1330	1	1
NZ_LYTJ01000023.1	2598	1	1
NZ_LZKU01000029.1	2871	1	1
NZ_LXGI01000065.1	8862	1	2
NZ_MACM02000141.1	1656	1	1
NZ_LZPD01000004.1	2092	1	2
NZ_LYXZ01000005.1	11709	1	1
NZ_MAQB02000001.1	219675	1	4
NZ_CP015399.1	37432	1	2
NZ_CP015400.1	1135212	1	1
NZ_MAKC01000082.1	2072	1	1
NZ_MANU01000020.1	2098	1	2
NZ_MAVV01000019.1	1540	1	1
NZ_CP015639.1	2303518	1	1
NZ_MDTQ01000001.1	2062	1	1
NZ_LXEM01000017.1	4068	1	2
NZ_MEHD01000054.1	1496	1	1
NZ_CP016501.1	975288	1	1
NZ_MCAU02000001.1	1375372	1	1
NZ_LRHX01000019.1	4499	1	3
NZ_CP016043.1	1674396	1	1
NZ_CP017603.1	1725	1	1
NZ_MKIE01000002.1	2101	1	1
NZ_MDRX01000001.1	5316481	1	9
NZ_CP017457.1	2061794	1	2
NZ_BDJF01000025.1	1627	1	1
NZ_LFBV01000001.1	1095362	1	2
NZ_CP018812.1	10862	1	3
NZ_MSKU01000005.1	27134	1	1
NZ_MQTZ01000033.1	2841	1	2
NZ_MJIG01000004.1	2474	1	1
NZ_CP019038.1	2147	2	3
NZ_MSXV01000023.1	2340	1	2
NZ_CP019082.1	2323	1	1
NZ_MJMP01000019.1	7261	1	3
NZ_MUEV01000001.1	1575	1	1
NZ_CP019633.1	1851	1	1
NZ_MUNV01000026.1	2222	1	2
NZ_CP016372.1	2089929	1	3
NZ_CP019781.1	984235	1	2
NZ_CP019402.1	3068315	1	2
NZ_MTAY01000027.1	2567	1	3
NZ_FCOX02000004.1	2091	1	2
NZ_FKLB01000057.1	1508	1	1
NZ_LT574835.1	1340	1	1
NZ_FLOB01000002.1	1576	1	1
NZ_LT594621.1	687328	1	1
NZ_FNKP01000002.1	2506	1	2
NZ_FNAE01000006.1	3453	1	2
NZ_FNAY01000020.1	1684	1	1
NZ_FNJQ01000002.1	1757	1	1
NZ_FNJQ01000004.1	2227	1	1
NZ_FNVY01000004.1	1216	1	1
NZ_FNTS01000002.1	16160	6	91
NZ_FOFM01000005.1	24907	1	1
NZ_FOGN01000001.1	901145	1	1
NZ_FOIB01000002.1	267915	1	1
NZ_FOLF01000007.1	1459	1	1
NZ_FPBL01000002.1	6885	1	2
NZ_FPIP01000002.1	182075	1	1
NZ_FPKO01000009.1	1779	1	1
NZ_LT635801.1	2030093	1	3
NZ_LT669940.1	1747	1	1
NZ_LT669941.1	1770	2	4
NZ_FSQX01000001.1	889020	1	1
NZ_FQUY01000025.1	1734	1	1
NZ_LT670820.1	311723	1	1
NZ_FVTJ01000021.1	1296	1	1
NZ_LT670844.1	7026336	1	1
NZ_FQZM01000064.1	1678	1	1
NZ_FQZY01000020.1	1355	1	1
NZ_FRAE01000037.1	1734	1	1
NZ_FRAX01000005.1	5012	1	2
NZ_FRBE01000005.1	2479	1	1
NZ_FRDH01000008.1	1497	1	1
NZ_FRFD01000007.1	38083	1	2
NZ_FTMY01000007.1	2122	2	3
NZ_FTOG01000012.1	1684	1	1
NZ_FUWU01000058.1	2266	1	1
NZ_FUZV01000001.1	2549	1	3
NZ_FWCH01000012.1	1934	1	1
ERR1730257_scaffold39104	1530	1	1
ERR1730266_C12402965	1305	1	1
ERR1730267_scaffold8961	2241	1	1
ERR1730269_scaffold40424	1802	1	1
ERR1730270_C21331828	1457	1	1
ERR1730271_scaffold31951	1341	1	1
ERR1730271_C15174950	1582	1	1
ERR1730271_C15186662	989	2	2
ERR1730257_C10044608	1342	1	1
ERR1730273_C14094864	1246	1	1
ERR1730276_C14584533	1276	1	1
ERR1730276_C14589353	1920	1	1
ERR1730279_C10135318	1846	1	1
ERR1730265_C8953451	1573	1	1
ERR1730265_C8965809	1428	1	1
SRS011134_Baylor_scaffold_29667	2078	1	1
SRS011239_Baylor_scaffold_4178	1277	1	1
SRS011239_Baylor_scaffold_9817	2080	1	1
SRS011239_Baylor_scaffold_20665	1962	1	1
SRS011239_Baylor_scaffold_29301	1790	1	1
SRS011243_Baylor_scaffold_48301	1703	1	1
SRS011302_Baylor_scaffold_6243	1367	1	2
SRS011302_Baylor_scaffold_18868	1172	1	1
SRS011306_Baylor_scaffold_58376	1382	1	1
C4772571	1790	1	1
SRS011586_WUGC_scaffold_7434	1146	1	1
SRS011586_WUGC_scaffold_10335	1708	1	1
SRS011586_WUGC_scaffold_18705	1309	1	1
SRS012273_Baylor_scaffold_8246	2228	2	3
SRS012273_Baylor_scaffold_34301	1860	1	1
SRS012273_Baylor_scaffold_36765	2083	1	1
SRS013476_Baylor_scaffold_6811	1547	1	1
SRS013687_Baylor_scaffold_21615	1502	1	1
SRS013687_Baylor_scaffold_21809	27977	1	2
C1876891	1632	1	1
SRS013951_WUGC_scaffold_8022	1722	1	1
SRS013951_WUGC_scaffold_8981	25371	2	5
SRS013951_WUGC_scaffold_15927	2756	1	2
SRS013951_WUGC_scaffold_47656	1182	1	1
SRS013951_WUGC_scaffold_64263	2297	1	2
SRS014235_WUGC_scaffold_833	64905	1	2
SRS014235_WUGC_scaffold_9135	1521	1	1
SRS014235_WUGC_scaffold_22079	8517	1	1
SRS014235_WUGC_scaffold_45837	1738	1	1
SRS014235_WUGC_scaffold_70569	3829	1	2
SRS014235_WUGC_scaffold_99120	40213	1	1
SRS014235_WUGC_scaffold_119803	56430	1	2
SRS014287_WUGC_scaffold_38207	1178	1	1
SRS014459_WUGC_scaffold_14203	1390	1	1
SRS014459_WUGC_scaffold_17576	1827	2	3
SRS014459_WUGC_scaffold_31762	16497	1	2
SRS014459_WUGC_scaffold_87987	1326	1	1
SRS014459_WUGC_scaffold_93499	1850	1	1
C2697151	1677	1	1
SRS014613_WUGC_scaffold_3234	2579	1	1
SRS014613_WUGC_scaffold_3983	1750	1	1
SRS014613_WUGC_scaffold_25426	2022	1	1
SRS014613_WUGC_scaffold_26360	2170	1	1
SRS014683_WUGC_scaffold_22791	1421	1	1
SRS014683_WUGC_scaffold_30844	1914	1	1
SRS014923_WUGC_scaffold_51758	2315	1	1
SRS014923_WUGC_scaffold_59580	1548	1	1
SRS014979_WUGC_scaffold_34243	1342	1	1
SRS015133_WUGC_scaffold_33140	2098	1	2
SRS015133_WUGC_scaffold_40856	1921	1	1
SRS015190_WUGC_scaffold_9329	1296	1	1
SRS015190_WUGC_scaffold_24113	1137	1	1
SRS015217_WUGC_scaffold_6606	40085	1	4
SRS015217_WUGC_scaffold_12599	1722	1	1
C2391720	1758	1	1
SRS015264_WUGC_scaffold_13179	2173	1	2
SRS015264_WUGC_scaffold_57793	1752	1	1
SRS015264_WUGC_scaffold_66109	1409	1	1
SRS015578_WUGC_scaffold_31117	1419	1	1
SRS015663_WUGC_scaffold_27774	2370	1	1
SRS015663_WUGC_scaffold_46419	1934	1	1
C3121131	2683	1	1
SRS015782_WUGC_scaffold_28253	1101	1	1
SRS015782_WUGC_scaffold_40748	1744	1	1
SRS015893_WUGC_scaffold_42257	25543	1	2
C3531371	2610	1	1
SRS015960_WUGC_scaffold_18811	1250	1	1
SRS016018_WUGC_scaffold_5573	16050	1	1
SRS016018_WUGC_scaffold_12973	1920	1	1
SRS016018_WUGC_scaffold_20700	1368	1	1
SRS016086_WUGC_scaffold_26885	1339	1	1
SRS016095_WUGC_scaffold_7254	2511	2	2
SRS016095_WUGC_scaffold_16169	1729	1	1
SRS016095_WUGC_scaffold_35851	1229	1	1
C1587581	1792	1	1
SRS016335_WUGC_scaffold_5786	2115	1	1
SRS016335_WUGC_scaffold_32876	1981	2	2
SRS017191_Baylor_scaffold_11226	1811	1	1
C1746428	1311	1	1
C1825501	900	1	1
SRS017521_Baylor_scaffold_11741	2565	1	1
SRS017701_Baylor_scaffold_11281	39396	1	3
SRS017701_Baylor_scaffold_17293	1971	1	1
SRS017821_Baylor_scaffold_7037	1459	1	1
SRS018351_Baylor_scaffold_1004	30697	1	4
SRS018427_Baylor_scaffold_441	1091	1	1
SRS018739_WUGC_scaffold_59882	2287	1	1
SRS019030_Baylor_scaffold_39776	1251	1	1
SRS019161_WUGC_scaffold_62155	2109	1	2
SRS019582_WUGC_scaffold_9518	2606	1	2
SRS019582_WUGC_scaffold_36692	1177	1	2
C3121827	1271	1	1
SRS019787_WUGC_scaffold_25006	1917	1	1
SRS019787_WUGC_scaffold_26812	1534	1	1
SRS019910_WUGC_scaffold_5688	2021	1	1
C2114308	1226	1	1
C4249812	2393	1	1
C4259500	2066	1	2
SRS020328_Baylor_scaffold_6632	975	1	1
SRS020328_Baylor_scaffold_37240	2177	1	1
SRS020869_Baylor_scaffold_3601	3364	1	1
C2197865	1710	1	1
C2204032	1477	1	1
C2209030	2336	1	1
C2209444	1572	1	1
C3046355	1265	1	1
SRS022137_WUGC_scaffold_21834	2244	1	1
SRS022137_WUGC_scaffold_28203	1499	1	1
SRS022524_Baylor_scaffold_12009	1660	1	1
SRS022524_Baylor_scaffold_69898	2197	1	1
SRS022609_Baylor_scaffold_19029	1112	1	1
SRS022609_Baylor_scaffold_27140	1971	1	1
SRS022609_Baylor_scaffold_55782	1604	1	1
SRS022609_Baylor_scaffold_56409	1810	1	1
SRS022609_Baylor_scaffold_90461	1141	1	1
SRS023526_Baylor_scaffold_6887	1362	1	1
C3189776	1201	1	1
SRS023604_Baylor_scaffold_9683	1881	1	1
SRS023914_Baylor_scaffold_3863	1493	1	1
SRS023914_Baylor_scaffold_4680	2151	1	1
SRS024075_LANL_scaffold_2734	1573	1	1
SRS024132_Baylor_scaffold_11143	1353	1	1
SRS043411_WUGC_scaffold_28490	1400	1	1
SRS043701_LANL_scaffold_20843	1436	1	1
SRS045004_LANL_scaffold_8106	1645	1	1
SRS045004_LANL_scaffold_29195	1467	1	1
SRS045713_WUGC_scaffold_5667	1068	1	1
C3206610	1295	1	1
SRS047044_WUGC_scaffold_29536	1807	1	1
SRS048164_WUGC_scaffold_24970	1942	1	1
C2350512	1292	1	2
C2358200	2008	1	1
SRS048870_WUGC_scaffold_8930	2238	1	2
SRS048870_WUGC_scaffold_26562	3823	1	1
SRS049164_WUGC_scaffold_88738	1506	1	1
SRS049900_LANL_scaffold_781	1816	1	1
SRS049959_WUGC_scaffold_2163	1590	1	1
SRS049959_WUGC_scaffold_31150	1767	2	2
SRS049995_LANL_scaffold_11689	101717	1	1
SRS049995_LANL_scaffold_39136	1389	1	1
SRS050299_LANL_scaffold_5926	1358	1	1
SRS050299_LANL_scaffold_23470	3135	1	1
SRS050299_LANL_scaffold_23554	1468	1	1
SRS050422_LANL_scaffold_42845	1839	1	1
SRS050422_LANL_scaffold_71829	1417	1	1
SRS050422_LANL_scaffold_95223	28509	1	2
SRS050422_LANL_scaffold_95410	1621	1	1
SRS050752_LANL_scaffold_13312	1257	1	1
SRS050925_LANL_scaffold_63133	2123	1	1
SRS051031_LANL_scaffold_8810	1326	1	1
SRS051791_LANL_scaffold_29667	3720	1	1
SRS051882_Baylor_scaffold_2613	13062	1	1
SRS052027_LANL_scaffold_4315	1787	1	1
C1905524	1715	1	1
SRS052697_LANL_scaffold_75585	2656	1	1
SRS053603_LANL_scaffold_49461	2645	1	1
SRS054590_LANL_scaffold_1726	8194	1	1
SRS054956_LANL_scaffold_45565	1732	1	1
SRS063985_LANL_scaffold_18440	2200	1	1
SRS064276_LANL_scaffold_69271	29029	1	1
SRS065504_LANL_scaffold_31136	1723	1	1
SRS077730_LANL_scaffold_668	48356	1	2
SRS078176_LANL_scaffold_6356	99619	1	2
SRS078176_LANL_scaffold_28758	1777	1	1
SRS011084_6339	1268	1	1
SRS011084_27735	2022	1	2
SRS011084_37733	2091	1	1
SRS012849_3981	1728	1	1
SRS012849_11094	2081	1	1
SRS012849_18914	1263	1	1
SRS012849_30303	1564	1	1
SRS012849_35874	38333	2	4
SRS012969_6631	27508	1	1
SRS012969_22975	1378	1	1
SRS012969_40859	1484	1	1
SRS013098_4303	2671	1	1
SRS013098_44570	3239	3	5
SRS013638_17921	27889	1	1
SRS013638_18165	3025	2	3
SRS013639_41093	2149	1	1
SRS013639_43662	1506	1	1
SRS016438_286	26765	1	1
SRS016438_contig-100_204.49161	1129	1	1
SRS017916_1738	1602	1	1
SRS017916_1902	2694	1	1
SRS017916_6012	1315	1	1
SRS017916_contig-100_0.120888	1208	1	1
