ID	Cassette	Phylum
NZ_CP009747.1	Proteobacteria	others
NZ_KN639176.1	Proteobacteria	others
NZ_JUEH01000009.1	Proteobacteria	others
NZ_JNFP01000001.1	Actinobacteria	G3
NZ_JWMA01000055.1	Proteobacteria	G1
NZ_CDBZ01000026.1	Proteobacteria	G7
NZ_CP010311.1	Proteobacteria	G1
NZ_CP010359.1	Proteobacteria	G2
NZ_CP010536.1	Proteobacteria	G2
NZ_JXQH01000052.1	Bacteroidetes	others
NZ_CP010892.1	Proteobacteria	others
NZ_JXXG01000003.1	Proteobacteria	G1
NZ_JYKO01000020.1	Proteobacteria	G4
NZ_JZRC01000006.1	Proteobacteria	G2
NZ_LANB01000001.1	Proteobacteria	others
NZ_KQ031391.1	Actinobacteria	others
NZ_KQ033902.1	Bacteroidetes	others
NZ_CP011974.1	Firmicutes	others
NZ_BBSJ01000051.1	Proteobacteria	others
NZ_LN831776.1	Firmicutes	others
NZ_CP011304.1	Cyanobacteria	others
NZ_JAIQ01000034.1	Proteobacteria	G1
NZ_CP011279.1	Proteobacteria	others
NZ_JZEG01000001.1	Proteobacteria	G3
NZ_LASZ01000001.1	Proteobacteria	G2
NZ_LCZB01000052.1	Proteobacteria	others
NZ_CP011773.1	Actinobacteria	others
NZ_LDZY01000004.1	Firmicutes	others
NZ_JYLD01000008.1	Proteobacteria	G2
NZ_LFMP01000013.1	Proteobacteria	others
NZ_CVVJ01000131.1	Proteobacteria	others
NZ_LN869529.1	Firmicutes	G1
NZ_LFUK01000020.1	Proteobacteria	G1
NZ_CP008934.1	Firmicutes	G1
NZ_CP011456.1	Cyanobacteria	others
NZ_LIIO01000025.1	Proteobacteria	G1
NZ_LGLE01000005.1	Proteobacteria	others
NZ_CYIG01000062.1	Proteobacteria	others
NZ_CYTL01000001.1	Proteobacteria	G4
NZ_CYTC01000006.1	Proteobacteria	others
NZ_CYTT01000010.1	Proteobacteria	G2
NZ_LKKS01000033.1	Proteobacteria	G4
NZ_BBDW01000001.1	Firmicutes	G2
NZ_CP009429.1	Proteobacteria	G3
NZ_BCBB01000027.1	Proteobacteria	G2
NZ_BCBU01000003.1	Proteobacteria	G2
NZ_CDHG01000005.1	Actinobacteria	others
NZ_COYP01000017.1	Actinobacteria	others
NZ_LBNV01000021.1	Proteobacteria	others
NZ_LN879468.1	Firmicutes	G9
NZ_CZBV01000004.1	Firmicutes	G1
NZ_CYXY01000005.1	Firmicutes	G2
NZ_CZAZ01000002.1	Firmicutes	G2
NZ_CYYC01000004.1	Firmicutes	G1
NZ_CYXN01000005.1	Firmicutes	G1
NZ_CYYL01000002.1	Firmicutes	G3
NZ_CZBH01000002.1	Firmicutes	G1
NZ_BCBX01000033.1	Actinobacteria	others
NZ_BCFK01000064.1	Actinobacteria	G5
NZ_LMLT01000010.1	Proteobacteria	others
NZ_LMLL01000016.1	Proteobacteria	others
NZ_LMEC01000011.1	Proteobacteria	G4
NZ_LMQV01000044.1	Proteobacteria	G3
NZ_LMFF01000012.1	Proteobacteria	G2
NZ_LMGS01000009.1	Proteobacteria	others
NZ_LMGM01000001.1	Actinobacteria	others
NZ_LMJU01000001.1	Proteobacteria	G8
NZ_LMJF01000001.1	Proteobacteria	others
NZ_LDJG01000036.1	Proteobacteria	G2
NZ_KQ483358.1	Proteobacteria	others
NZ_AZFC01000002.1	Firmicutes	G1
NZ_AZEI01000017.1	Firmicutes	G1
NZ_LJYG01000108.1	Proteobacteria	others
NZ_CP013118.1	Bacteroidetes	others
NZ_CP013145.1	Proteobacteria	G6
NZ_CP013189.1	Proteobacteria	G1
NZ_CP012680.1	Proteobacteria	G4
NZ_LNVK01000025.1	Proteobacteria	others
NZ_LOQE01000002.1	Proteobacteria	G1
NZ_CP013671.1	Bacteroidetes	G5
NZ_KQ948146.1	Actinobacteria	G5
NZ_LNQU01000005.1	Proteobacteria	others
NZ_LOWF01000107.1	Proteobacteria	G4
NZ_LOWI01000016.1	Proteobacteria	G3
NZ_LOWP01000021.1	Proteobacteria	G4
NZ_LOXK01000134.1	Proteobacteria	G4
NZ_LPAG01000068.1	Proteobacteria	G8
NZ_LPAI01000116.1	Proteobacteria	G2
NZ_LPAT01000035.1	Proteobacteria	others
NZ_LPCO01000006.1	Proteobacteria	G4
NZ_LPCQ01000232.1	Proteobacteria	G4
NZ_LPCN01000042.1	Proteobacteria	G2
NZ_LPFU01000034.1	Proteobacteria	G2
NZ_LPKL01000043.1	Proteobacteria	G2
NZ_LPMJ01000057.1	Proteobacteria	G4
NZ_LPMK01000004.1	Proteobacteria	G4
NZ_FCKV01000010.1	Proteobacteria	G1
NZ_LCYC01000058.1	Proteobacteria	G2
NZ_AP013042.1	Proteobacteria	others
NZ_AP014951.1	Proteobacteria	G6
NZ_LRUJ01000041.1	Proteobacteria	G2
NZ_LNRF01000008.1	Proteobacteria	G5
NZ_BCTL01000102.1	Proteobacteria	G5
NZ_CP014474.1	Proteobacteria	others
NZ_JYFV01000006.1	Proteobacteria	G1
NZ_CP014517.1	Proteobacteria	others
NZ_KQ968198.1	Bacteroidetes	G1
NZ_KQ968401.1	Bacteroidetes	G2
NZ_LQYW01000149.1	Firmicutes	G1
NZ_JXDL01000001.1	Proteobacteria	others
NZ_BCVW01000039.1	Firmicutes	G1
NZ_LOBR01000032.1	Proteobacteria	G1
NZ_BCYO01000003.1	Proteobacteria	G4
NZ_CP015036.1	Proteobacteria	others
NZ_CP015098.1	Actinobacteria	G5
NZ_LMUC01000012.1	Firmicutes	others
NZ_CP015377.1	Proteobacteria	G2
NZ_CP015286.1	Firmicutes	others
NZ_CP011789.1	Proteobacteria	others
NZ_LUCV01000049.1	Proteobacteria	G4
NZ_CP015600.1	Proteobacteria	others
NZ_LVVY01000130.1	Proteobacteria	G2
NZ_LBCW01000293.1	Bacteroidetes	G1
NZ_LYTJ01000023.1	Proteobacteria	others
NZ_LZKU01000029.1	Actinobacteria	others
NZ_LXGI01000065.1	Proteobacteria	others
NZ_MACM02000141.1	Proteobacteria	G1
NZ_LZPD01000004.1	Proteobacteria	G2
NZ_LYXZ01000005.1	Proteobacteria	others
NZ_MAQB02000001.1	Proteobacteria	others
NZ_CP015399.1	Firmicutes	G2
NZ_CP015400.1	Firmicutes	G5
NZ_MAKC01000082.1	Proteobacteria	G5
NZ_MANU01000020.1	Proteobacteria	G2
NZ_CP015639.1	Proteobacteria	G1
NZ_MDTQ01000001.1	Proteobacteria	G1
NZ_LXEM01000017.1	Proteobacteria	G2
NZ_MEHD01000054.1	Firmicutes	G1
NZ_CP016501.1	Firmicutes	others
NZ_MCAU02000001.1	Proteobacteria	others
NZ_LRHX01000019.1	Proteobacteria	G4
NZ_CP016043.1	Proteobacteria	others
NZ_CP017603.1	Firmicutes	G1
NZ_MKIE01000002.1	Firmicutes	G3
NZ_MDRX01000001.1	Actinobacteria	others
NZ_CP017457.1	Proteobacteria	others
NZ_BDJF01000025.1	Proteobacteria	G1
NZ_LFBV01000001.1	Actinobacteria	others
NZ_CP018812.1	Proteobacteria	G4
NZ_MSKU01000005.1	Actinobacteria	others
NZ_MQTZ01000033.1	Cyanobacteria	others
NZ_MJIG01000004.1	Firmicutes	G3
NZ_CP019038.1	Proteobacteria	others
NZ_MSXV01000023.1	Proteobacteria	G2
NZ_MJMP01000019.1	Proteobacteria	G4
NZ_MUEV01000001.1	Proteobacteria	G1
NZ_MUNV01000026.1	Proteobacteria	G2
NZ_CP016372.1	Bacteroidetes	others
NZ_CP019781.1	Proteobacteria	others
NZ_CP019402.1	Actinobacteria	others
NZ_MTAY01000027.1	Proteobacteria	G4
NZ_FCOX02000004.1	Proteobacteria	G2
NZ_FKLB01000057.1	Proteobacteria	G1
NZ_LT574835.1	Firmicutes	G1
NZ_FLOB01000002.1	Proteobacteria	G1
NZ_LT594621.1	Bacteroidetes	others
NZ_FNKP01000002.1	Proteobacteria	G2
NZ_FNAE01000006.1	Proteobacteria	G2
NZ_FNAY01000020.1	Proteobacteria	G1
NZ_FNJQ01000002.1	Firmicutes	G1
NZ_FNJQ01000004.1	Firmicutes	G1
NZ_FNVY01000004.1	Firmicutes	G1
NZ_FNTS01000002.1	Proteobacteria	others
NZ_FOFM01000005.1	Proteobacteria	others
NZ_FOGN01000001.1	Proteobacteria	others
NZ_FOIB01000002.1	Proteobacteria	G5
NZ_FOLF01000007.1	Bacteroidetes	G1
NZ_FPBL01000002.1	Proteobacteria	others
NZ_FPIP01000002.1	Firmicutes	G3
NZ_FPKO01000009.1	Actinobacteria	G1
NZ_LT635801.1	Bacteroidetes	others
NZ_LT669940.1	Bacteroidetes	G1
NZ_LT669941.1	Bacteroidetes	others
NZ_FSQX01000001.1	Proteobacteria	G8
NZ_FQUY01000025.1	Firmicutes	G1
NZ_LT670820.1	Bacteroidetes	G8
NZ_FVTJ01000021.1	Actinobacteria	G1
NZ_LT670844.1	Proteobacteria	G9
NZ_FQZM01000064.1	Firmicutes	G1
NZ_FQZY01000020.1	Firmicutes	G1
NZ_FRAE01000037.1	Firmicutes	G1
NZ_FRDH01000008.1	Firmicutes	G1
NZ_FRFD01000007.1	Firmicutes	G2
NZ_FUZV01000001.1	Proteobacteria	G4
NZ_FWCH01000012.1	Firmicutes	G3
NZ_FTMY01000007.1	Proteobacteria	others
NZ_FTOG01000012.1	Proteobacteria	G1
NZ_ABEA03000010.1	others	G1
NC_020449.1	others	G6
NC_010831.1	others	others
NZ_CP001621.1	others	others
NC_002967.9	others	others
NC_006908.1	others	others
NC_019892.1	others	others
NZ_KB442453.1	others	G1
NZ_KB899418.1	others	G1
NZ_AUIU01000012.1	others	G1
NZ_AWNK01000004.1	others	G1
NZ_KK073872.1	others	G1
NZ_JMFO01000003.1	others	G3
NZ_JMFO01000010.1	others	G7
NZ_JTLI01000008.1	others	G1
NZ_MAVV01000019.1	others	G1
NZ_CP019082.1	others	others
NZ_CP019633.1	others	G6
NZ_FRAX01000005.1	others	others
NZ_FRBE01000005.1	others	others
NZ_FUWU01000058.1	others	G1
